ab: ab
fleet: fleet,fleets
fleeting: fleeting
flesh: flesh
fleury: fleury
flexibility: flexibility
flexible: flexible
flicker: flicker
flight: flight
float: float,floated,floating
flock: flock,flocked,flocks
flood: flood,flooded
floor: floor
florence: florence
florid: florid
flour: flour
flourish: flourish,flourished,flourishes,flourishing
flourishing: flourishing
flow: flow,flowed,flowing
flower: flower,flowers
fluctuate: fluctuate,fluctuated,fluctuating
fluctuation: fluctuation,fluctuations
flush: flushed
flute: flutes
fly: flew,flies,fly,flying
foe: foe,foes
fol: fol
fold: fold
follis: follis
follow: follow
follower: followers
folly: follies,folly
foment: foment,fomented,fomenting
fond: fond,fondest
fondateur: fondateur
fondly: fondly
food: food
foolish: foolish
foolishly: foolishly
foot: feet,foot
footed: footed
footstep: footstep,footsteps
footstool: footstool
foppery: fopperies
fora: fora
forage: forage
forbear: forbear
forbearance: forbearance
forbid: forbade,forbid
force: force,forced,forces,forcing
forcible: forcible
forcibly: forcibly
ford: fords
fore: fore
foreign: foreign
foreknowledge: foreknowledge
foremost: foremost
foresee: foresaw,foresee,foreseen
forest: forest,forests
foretell: foretold
forfeit: forfeit,forfeited,forfeiting
forfeiture: forfeiture,forfeitures
forge: forged
forgery: forgery
forget: forget,forgets,forgot,forgotten
forgive: forgave,forgive
forgiveness: forgiveness
form: form,formed,forming,forms
formal: formal
formality: formalities
formally: formally
formidable: formidable
formulary: formulary
fort: fort,forts
forte: forte,fortes
fortification: fortification,fortifications
fortified: fortified
fortify: fortified,fortify
fortitude: fortitude
fortress: fortress,fortresses
fortuitous: fortuitous
fortunate: fortunate
fortunately: fortunately
fortune: fortune,fortunes
forum: forum
forwards: forwards
foster: foster
foundation: foundation,foundations
founder: founder,founders
fountain: fountain,fountains
fourscore: fourscore
fourteen: fourteen
fourteenth: fourteenth
fourth: fourth
fox: fox,foxes
fra: fra
fractus: fractus
frag: frag
fragment: fragment,fragments
frailty: frailties,frailty
frame: frame,framed
france: france
francis: francis
frank: frank
frankfort: frankfort
frankly: frankly
frankness: frankness
franks: franks
frantic: frantic
frater: frater
fraternal: fraternal
fraternity: fraternities
fratricide: fratricide
fraud: fraud,frauds
fraudulently: fraudulently
frederic: frederic
frederick: frederick
freedman: freedman
freedmen: freedmen
freedom: freedom,freedoms
freely: freely
freeze: frozen
fregit: fregit
french: french
frenchman: frenchman
frenzy: frenzy
frequent: frequent,frequented
frequently: frequently
fresh: fresh
freshness: freshness
friend: friend,friends
friendless: friendless
friendly: friendly
friendship: friendship
frightened: frightened
frivolous: frivolous
frontier: frontier,frontiers
frown: frown
frugal: frugal
frugality: frugality
fruit: fruit,fruits
fruitful: fruitful
fruition: fruition
fruitless: fruitless
fugitive: fugitive,fugitives
fulfil: fulfilled
fume: fumes
function: function,functions
fund: fund
fundamental: fundamental
funeral: funeral,funerals
funereal: funereal
fur: furs
furies: furies
furious: furious
furlong: furlongs
furnish: furnish,furnished,furnishes
furnished: furnished
furnishing: furnishing
furniture: furniture
furor: furor
fury: furies,fury
fusion: fusion
future: future
futurity: futurity
gain: gain,gained,gaining
gainful: gainful
galilee: galilee
galla: galla
gallantly: gallantly
galley: galleys
galli: galli
gallic: gallic
gallican: gallican
gallop: galloped,galloping
gallus: gallus
game: game,games
gang: gang,gangs
gap: gap
garb: garb
garden: garden,gardens
garland: garlands
garment: garment,garments
garrison: garrison,garrisons
garter: garter
gate: gate,gates
gaudy: gaudy
gaul: gaul,gauls
gauls: gauls
gaze: gazed,gazing
gem: gems
gemini: gemini
gen: gens
genealogy: genealogy
genera: genera
generale: generale
generality: generality
generate: generated
generation: generation,generations
generic: generic
generical: generical
generosity: generosity
generous: generous
generously: generously
geneva: geneva
genial: genial
genii: genii
genius: genius
gens: gens
gentes: gentes
gentile: gentile,gentiles
gentiles: gentiles
gentium: gentium
gentle: gentle,gentlest
gentleman: gentleman
gentleness: gentleness
gently: gently
genuine: genuine
genus: genus
geog: geog
geographer: geographer,geographers
geographical: geographical
geography: geography
geometrical: geometrical
george: george
georgia: georgia
georgian: georgian
georgic: georgic
gerard: gerard
germ: germ
germain: germain
german: german,germans
germania: germania
germany: germany
geryon: geryon
gesture: gestures
gheg: gheg
ghost: ghost
gibbet: gibbet
gibbon: gibbon
gideon: gideon
gift: gift,gifts
gigantic: gigantic
gild: gilding
gill: gill
gilles: gilles
gilt: gilt
gird: girded
girdle: girdle
girl: girl,girls
gladiator: gladiators
gladly: gladly
glance: glance,glanced
glasgow: glasgow
gleam: gleam
glean: gleans
glitter: glittered,glittering
globe: globe
gloomy: gloomy
gloria: gloria
gloriam: gloriam
gloriosa: gloriosa
glorious: glorious
gloriously: gloriously
glory: gloried,glories,glory
gloss: gloss,glossed
gloucester: gloucester
glow: glowed
glowing: glowing
gnat: gnats
gnostic: gnostic
gnosticism: gnosticism
goal: goals
goat: goat,goats
god: god,gods
goddess: goddess,goddesses
godlike: godlike
gods: gods
goetic: goetic
gold: gold
golden: golden
goldsmith: goldsmith
goodness: goodness
goose: goose
gospel: gospel
goth: goth
gothic: gothic
goths: goths
govern: govern,governed
government: government,governments
governor: governor,governors
grab: grab
grace: grace,graced
graceful: graceful
gracious: gracious
graciously: graciously
gradation: gradation,gradations
gradual: gradual
gradually: gradually
grain: grain,grains
grammar: grammar
grammarian: grammarians
granary: granaries
grand: grand
grandeur: grandeur
grandfather: grandfather
grands: grands
grandson: grandson,grandsons
granite: granite
grant: grant,granted,grants
grape: grape
graphic: graphic
grasp: grasp,grasped
grass: grass
grat: grat
grateful: grateful
gratefully: gratefully
gratias: gratias
gratification: gratification,gratifications
gratified: gratified
gratify: gratified,gratify,gratifying
gratifying: gratifying
gratitude: gratitude
gratuity: gratuities
grave: grave,graver,gravest
gravely: gravely
gravity: gravity
gray: gray
greatly: greatly
greatness: greatness
greaves: greaves
grecian: grecian
grecizing: grecizing
greece: greece
greedily: greedily
greek: greek,greeks
green: green
greg: greg
grege: grege
gregor: gregor
gregory: gregory
grief: grief
grievance: grievance,grievances
groan: groans
gross: gross,grosser
grossen: grossen
grot: grot
ground: ground,grounded
groundless: groundless
grounds: grounds
grove: grove,groves
grow: grew,grow,growing,grown
growth: growth
guarantee: guarantee
guard: guard,guarded,guards
guardian: guardian,guardians
guerre: guerre
guest: guest,guests
guidance: guidance
guide: guide,guided,guides
guilt: guilt
guiltless: guiltless
guilty: guilty
guinea: guinea
gulf: gulf
gymnasia: gymnasia
gymnastic: gymnastic
habere: habere
habet: habet
habit: habit,habits
habitation: habitation,habitations
habitual: habitual
habituate: habituated
habitus: habitus
hag: hags
hail: hail
hailes: hailes
hair: hair,hairs
hairy: hairy
hall: hall,halls
halo: halo,halos
halt: halt,halted
halted: halted
hamadan: hamadan
haman: haman
hammer: hammer
hand: hand,hands
handful: handful,handfuls
handle: handle,handling
handsomely: handsomely
hang: hangs,hung
happen: happen,happened
happily: happily
happiness: happiness
happy: happier,happy
harangue: harangue,harangued
harass: harass,harassed,harassing
harbor: harbor
hard: hard
harden: hardened,hardens
hardness: hardness
hardship: hardship,hardships
hardy: hardy
harem: harem
harmer: harmer
harmless: harmless
harmonious: harmonious
harmonize: harmonize
harmony: harmony
harness: harnessed
harp: harp
harpy: harpies
harris: harris
harsh: harsh,harsher,harshest
harshness: harshness
haruspex: haruspex
haruspice: haruspices
haruspices: haruspices
harvest: harvest,harvests
hast: hast
haste: haste
hasten: hasten,hastened,hastening
hastily: hastily
hasty: hasty
hate: hated,hating
hatred: hatred
haughty: haughtiest,haughty
hawk: hawking
hazard: hazard
hazardous: hazardous
head: head,heads
headland: headlands
headless: headless
headlong: headlong
headquarters: headquarters
headstrong: headstrong
heal: heal,healed
healing: healing
health: health
healthy: healthy
heap: heaps
hear: hear,heard,hearing
hearer: hearer
heart: heart,hearts
hearty: hearty
heat: heat,heated
heated: heated
heathen: heathen
heaven: heaven,heavens
heavenly: heavenly
heavens: heavens
heavy: heavier,heavy
hebrew: hebrew
hebrews: hebrews
hecate: hecate
hecatomb: hecatombs
hector: hector
hecuba: hecuba
heel: heels
height: height,heights
heighten: heightened,heightening
heir: heir,heirs
hejira: hejira
helena: helena
hellenists: hellenists
hellespont: hellespont
helmet: helmet
helpless: helpless
hemisphere: hemisphere
hems: hems
henceforward: henceforward
henry: henry
herb: herbs
hercules: hercules
hercynian: hercynian
herd: herds
herdsman: herdsmen
hereditary: hereditary
heresies: heresies
heresy: heresies,heresy
heretic: heretic,heretics
heretical: heretical
heretics: heretics
hermit: hermit,hermits
hero: hero,heroes
heroic: heroic
heroism: heroism
heruli: heruli
hesitate: hesitate,hesitated,hesitates
hesitation: hesitation
heterodox: heterodox
hic: hic
hide: hide,hides
hierarchy: hierarchy
hieroglyphic: hieroglyphics
hierophant: hierophant
highlander: highlander,highlanders
highlanders: highlanders
highly: highly
highness: highness
highway: highway,highways
hilar: hilar
hilary: hilary
hill: hill,hills
hilly: hilly
hinder: hindered
hine: hine
hint: hint,hints
hippocentaur: hippocentaur
hippodrome: hippodrome
hire: hired
hist: hist
historian: historian,historians
historical: historical
history: histories,history
hitherto: hitherto
hoc: hoc
hoist: hoist,hoisted
hold: held,hold,holding
hole: hole,holes
holstein: holstein
holy: holy
hom: hom
homage: homage
homer: homer
homeric: homeric
homicide: homicide
homilies: homilies
hominem: hominem
homo: homo
homoousian: homoousian
homoousion: homoousion
honest: honest
honestly: honestly
honey: honey
honor: honor,honored,honors
honora: honora
honorable: honorable
honorably: honorably
honorary: honorary
hoof: hoofs
hook: hooks
hooper: hooper
hope: hope,hoped,hopes
hopeless: hopeless
horace: horace
horizon: horizon
horn: horn,horned,horns
horrible: horrible
horrid: horrid
horror: horror,horrors
hors: hors
horse: horse,horses
horseback: horseback
horseman: horseman,horsemen
hospitable: hospitable
hospital: hospital,hospitals
hospitality: hospitality
hospitium: hospitium
host: host
hostage: hostage,hostages
hostile: hostile
hostility: hostilities,hostility
hosts: hosts
hot: hot
hour: hour,hours
house: house,houses
household: household
hover: hovered
hudson: hudson
huge: huge
huic: huic
human: human
humane: humane
humanity: humanity
humble: humble,humbled
humbly: humbly
hume: hume
humiliating: humiliating
humiliation: humiliation
humility: humility
humor: humor
hungary: hungary
hunger: hunger
hungry: hungry
huns: huns
hunt: hunted,hunting
hunter: hunters
hunting: hunting
hurdle: hurdles
hurl: hurled
hurricane: hurricane
hurry: hurried,hurry
husband: husband,husbands
husbandman: husbandman
husbandmen: husbandmen
husbandry: husbandry
hush: hushed
hut: huts
hydra: hydra
hymn: hymn,hymns
hyperbole: hyperbole
hyperbolical: hyperbolical
hyperborean: hyperborean
hypocrisy: hypocrisy
hypocritical: hypocritical
hypostasis: hypostasis
hypothesis: hypothesis
ib: ib
iberia: iberia
iberian: iberian
ibid: ibid
ice: ice
ida: ida
idea: idea,ideas
ideal: ideal
idem: idem
identity: identity
ideo: ideo
idiom: idiom
idle: idle
idleness: idleness
idol: idols
idolater: idolater,idolaters
idolatrous: idolatrous
idolatry: idolatry
ierne: ierne
igitur: igitur
ign: ign
ignatius: ignatius
ignis: ignis
ignoble: ignoble
ignominious: ignominious
ignominiously: ignominiously
ignominy: ignominy
ignorance: ignorance
ignorant: ignorant
ignorantly: ignorantly
iii: iii
iliad: iliad
ilium: ilium
illegal: illegal
illegally: illegally
illiberal: illiberal
illiterate: illiterate
illness: illness
illuminate: illuminate,illuminated
illumination: illumination
illuminator: illuminator
illusion: illusion,illusions
illustrate: illustrate,illustrated,illustrates
illustration: illustration,illustrations
illustrious: illustrious
illyrian: illyrian
illyric: illyric
ima: ima
image: image,images
imaginary: imaginary
imagination: imagination,imaginations
imagine: imagine,imagined
imbibe: imbibed
imbitter: imbitter,imbittered
imbrue: imbrued
imitate: imitate,imitated,imitating
imitation: imitation,imitations
immaculate: immaculate
immaterial: immaterial
immeasurable: immeasurable
immense: immense
imminent: imminent
immoderate: immoderate
immorality: immoralities,immorality
immortal: immortal,immortals
immortality: immortality
immortals: immortals
immunity: immunities,immunity
immutable: immutable
imp: imp
impair: impaired
impart: imparting
impartial: impartial
impartiality: impartiality
impartially: impartially
impatience: impatience
impatient: impatient
impatiently: impatiently
impeach: impeach
impel: impelled
impend: impending
impending: impending
impenetrable: impenetrable
impenitent: impenitent
imperator: imperator
imperceptible: imperceptible
imperceptibly: imperceptibly
imperfect: imperfect
imperfection: imperfection,imperfections
imperfectly: imperfectly
imperial: imperial
imperialists: imperialists
imperii: imperii
imperious: imperious
imperiously: imperiously
imperium: imperium
impersonation: impersonation
impersonative: impersonative
impertinence: impertinence
impertinently: impertinently
impetuosity: impetuosity
impetuous: impetuous
impetuously: impetuously
impiety: impiety
impious: impious
implacable: implacable
implicit: implicit
implore: implore,implored,imploring
imply: implied,implies,imply
import: import,imported,importing
importunate: importunate
importunity: importunities,importunity
impose: impose,imposed,imposes,imposing
imposition: imposition,impositions
impossible: impossible
impost: impost,imposts
imposter: imposter
impostor: impostor
imposture: imposture
impotent: impotent
impoverish: impoverished
impoverished: impoverished
impracticable: impracticable
imprecation: imprecations
impregnable: impregnable
impress: impress,impressed,impressing
impressed: impressed
impression: impression,impressions
imprint: imprint,imprinted,imprints
imprinting: imprinting
imprison: imprison,imprisoned
imprisonment: imprisonment
improbability: improbability
improbable: improbable
improper: improper
improperly: improperly
improve: improve,improved,improves,improving
improved: improved
improvement: improvement,improvements
imprudence: imprudence
imprudent: imprudent
imprudently: imprudently
impulse: impulse
impunity: impunity
impure: impure
impurity: impurity
imputation: imputation
impute: impute,imputes,imputing
imputed: imputed
inability: inability
inaccessible: inaccessible
inaccuracy: inaccuracy
inaccurate: inaccurate
inaccurately: inaccurately
inaction: inaction
inactivity: inactivity
inadequate: inadequate
inadvertency: inadvertency
inalienable: inalienable
inanimate: inanimate
inartificial: inartificial
inauguration: inauguration
inauspicious: inauspicious
incantation: incantations
incapable: incapable
incapacity: incapacity
incarnate: incarnate
incarnation: incarnation
incautiously: incautiously
incendiary: incendiaries,incendiary
incense: incense,incensed,incensing
incessant: incessant
incessantly: incessantly
incest: incest
incestuous: incestuous
inch: inches
incident: incident,incidents
incipit: incipit
incite: incited
inclemency: inclemency
inclination: inclination,inclinations
incline: incline,inclined,inclines
inclined: inclined
include: include,included,including
inclusive: inclusive
incoherent: incoherent
income: income
incommunicable: incommunicable
incomparable: incomparable
incompatible: incompatible
incomprehensible: incomprehensible
inconsiderable: inconsiderable
inconsiderate: inconsiderate
inconsistency: inconsistencies,inconsistency
inconsistent: inconsistent
inconstancy: inconstancy
inconstant: inconstant
incontestable: incontestable
inconveniency: inconveniency
inconvenient: inconvenient
incorporate: incorporate
incorporeal: incorporeal
incorrect: incorrect
incorrectness: incorrectness
incorruptible: incorruptible
increase: increase,increased,increasing
incredible: incredible
incredulity: incredulity
incredulous: incredulous
inculcate: inculcate,inculcated,inculcates,inculcating
incumbent: incumbent
incur: incur,incurred,incurring
incurable: incurable
incursion: incursion,incursions
inde: inde
indebt: indebted
indebted: indebted
indecent: indecent
indefatigable: indefatigable
indefeasible: indefeasible
indefinite: indefinite
indelible: indelible
indelicate: indelicate
indemnify: indemnified
independence: independence
independent: independent
independently: independently
india: india
indian: indian,indians
indicium: indicium
indiction: indiction
indies: indies
indifference: indifference
indifferent: indifferent
indifferently: indifferently
indigence: indigence
indigent: indigent
indigestion: indigestion
indignant: indignant
indignantly: indignantly
indignation: indignation
indignity: indignity
indirect: indirect
indirectly: indirectly
indiscreet: indiscreet
indiscretion: indiscretion
indiscriminate: indiscriminate
indiscriminately: indiscriminately
indispensable: indispensable
indispensably: indispensably
indisposition: indisposition
indissoluble: indissoluble
indissolubly: indissolubly
individual: individual,individuals
indivisible: indivisible
indole: indole
indolence: indolence
indolent: indolent
induce: induce,induced
indulge: indulge,indulged,indulges,indulging
indulgence: indulgence,indulgences
indulgent: indulgent
industrious: industrious
industriously: industriously
industry: industry
ineffable: ineffable
ineffectual: ineffectual
ineffectually: ineffectually
inelegant: inelegant
inequality: inequality
inestimable: inestimable
inevitable: inevitable
inevitably: inevitably
inexcusably: inexcusably
inexhaustible: inexhaustible
inexorable: inexorable
inexperience: inexperience
inexperienced: inexperienced
inexplicable: inexplicable
inf: inf
infallible: infallible
infallibly: infallibly
infamous: infamous
infamy: infamy
infancy: infancy
infant: infant,infants
infantry: infantry
infect: infected
infection: infection
infer: infer,inferred
inference: inference,inferences
inferior: inferior
inferiority: inferiority
infernal: infernal
infest: infested
infidel: infidel,infidels
infidels: infidels
infinite: infinite
infinitely: infinitely
infirmity: infirmities
inflame: inflame,inflamed
inflammable: inflammable
inflammatory: inflammatory
inflate: inflated
inflated: inflated
inflection: inflections
inflexible: inflexible
inflexibly: inflexibly
inflict: inflict,inflicted,inflicting,inflicts
influence: influence,influenced
inform: inform,informed,informing,informs
informed: informed
informer: informer,informers
infra: infra
infuse: infuse,infused
infusion: infusion
ingenio: ingenio
ingenious: ingenious
ingeniously: ingeniously
ingenuity: ingenuity
ingenuous: ingenuous
ingenuously: ingenuously
inglorious: inglorious
ingraft: ingraft
ingratitude: ingratitude
inhabit: inhabit,inhabited,inhabiting
inhabitant: inhabitant,inhabitants
inherent: inherent
inherit: inherit,inherited
inheritance: inheritance
inhospitable: inhospitable
inhuman: inhuman
inhumanly: inhumanly
inimitable: inimitable
init: init
initial: initial
initiate: initiated
initiation: initiation
initiatory: initiatory
injudicious: injudicious
injudiciously: injudiciously
injunction: injunction
injure: injured
injured: injured
injuria: injuria
injuriously: injuriously
injury: injuries,injury
injustice: injustice
ink: ink
inky: inky
inland: inland
innate: innate
innocence: innocence
innocent: innocent,innocents
innovation: innovation,innovations
innumerable: innumerable
inoffensive: inoffensive
inquire: inquire,inquired,inquiring
inquirer: inquirer
inquiry: inquiries,inquiry
inquisition: inquisition
inquisitive: inquisitive
inquisitor: inquisitor
inroad: inroad,inroads
insatiate: insatiate
inscribe: inscribe,inscribed
inscription: inscription,inscriptions
inscriptions: inscriptions
inscrutable: inscrutable
insect: insects
insensibility: insensibility
insensible: insensible
insensibly: insensibly
inseparable: inseparable
inseparably: inseparably
insert: insert,inserted,inserts
insidious: insidious
insignia: insignia
insignificant: insignificant
insincerity: insincerity
insinuate: insinuate,insinuated,insinuates,insinuating
insinuation: insinuation,insinuations
insist: insist,insisted,insisting,insists
insnaring: insnaring
insolence: insolence
insolent: insolent
insolently: insolently
insolvent: insolvent
inspect: inspect,inspected
inspection: inspection
inspector: inspector,inspectors
inspiration: inspiration,inspirations
inspire: inspire,inspired,inspires
inspired: inspired
inst: inst
instance: instance,instances
instant: instant
instantly: instantly
instigate: instigate,instigated
instigation: instigation
instil: instilled
instinct: instinct
institute: institute,instituted
institutes: institutes
institution: institution,institutions
institutions: institutions
instruct: instruct,instructed,instructing,instructs
instruction: instruction,instructions
instructive: instructive
instructor: instructors
instrument: instrument,instruments
insufficient: insufficient
insulse: insulse
insult: insult,insulted,insulting,insults
insulting: insulting
insultingly: insultingly
insuperable: insuperable
insure: insure,insured
insurmountable: insurmountable
insurrection: insurrection,insurrections
integrity: integrity
intellect: intellect
intellectual: intellectual
intelligence: intelligence
intelligent: intelligent
intelligible: intelligible
intemperance: intemperance
intemperate: intemperate
intend: intended
intense: intense
intention: intention,intentions
intentional: intentional
inter: inter,interred
intercalation: intercalation
intercede: intercede,intercedes
intercept: intercept,intercepted
intercession: intercession
intercourse: intercourse
interdict: interdict,interdicts
interdiction: interdiction
interfere: interfere,interfered,interfering
interim: interim
interior: interior
interjacent: interjacent
interlocutor: interlocutor
intermarriages: intermarriages
intermediate: intermediate
interminable: interminable
intermixture: intermixture
internal: internal
interpolate: interpolated
interpolation: interpolations
interpose: interposed
interposition: interposition,interpositions
interpret: interpret,interpreted,interpreting
interpretation: interpretation,interpretations
interpreter: interpreter,interpreters
interrogate: interrogate
interrogation: interrogations
interrupt: interrupt,interrupted
interrupted: interrupted
interruption: interruption
intersect: intersect,intersected
intersection: intersection
intersperse: interspersed
interval: interval,intervals
intervene: intervened
intervention: intervention
interview: interview,interviews
interweave: interwoven
intestine: intestine
intimate: intimate,intimated,intimates,intimating
intimately: intimately
intimation: intimation
intimidate: intimidate,intimidated
intolerable: intolerable
intolerably: intolerably
intolerance: intolerance
intolerant: intolerant
intoxicated: intoxicated
intoxication: intoxication
intra: intra
intrench: intrenched
intrepid: intrepid
intrepidity: intrepidity
intricate: intricate
intrigue: intrigue,intrigues
intrinsic: intrinsic
introduce: introduce,introduced,introduces,introducing
introduct: introduct
introduction: introduction
intrusion: intrusion
intrust: intrust,intrusted
inundation: inundation,inundations
inure: inured
invade: invade,invaded,invading
invaded: invaded
invader: invader,invaders
invalidate: invalidate
invaluable: invaluable
invariable: invariable
invariably: invariably
invasion: invasion
invective: invective,invectives
inveigle: inveigled
invent: invent,invented,inventing
inventory: inventory
invest: invest,invested,investing
investigate: investigate,investigated,investigating
investigation: investigations
investiture: investiture
invests: invests
inveterate: inveterate
invidia: invidia
invidious: invidious
invigorate: invigorate
invincible: invincible
inviolable: inviolable
inviolably: inviolably
inviolate: inviolate
invisible: invisible
invitation: invitation,invitations
invite: invite,invited,invites,inviting
inviting: inviting
invoke: invoke,invoked
involuntary: involuntary
involve: involve,involved,involving
invulnerable: invulnerable
inwardly: inwardly
inwrought: inwrought
ipse: ipse
ipso: ipso
ira: ira
irascible: irascible
ireland: ireland
irish: irish
irksome: irksome
iron: iron,irons
ironical: ironical
ironically: ironically
irony: irony
irrational: irrational
irreconcilable: irreconcilable
irrecoverably: irrecoverably
irregular: irregular
irregularity: irregularities,irregularity
irregularly: irregularly
irreparable: irreparable
irresistible: irresistible
irresistibly: irresistibly
irresolute: irresolute
irretrievable: irretrievable
irreverent: irreverent
irrevocable: irrevocable
irrevocably: irrevocably
irritate: irritate,irritating
irritated: irritated
irruption: irruption
isaac: isaac
isaiah: isaiah
isidore: isidore
isis: isis
island: island,islands
isle: isle
isolate: isolated
israel: israel
israelite: israelite
israelites: israelites
issue: issue,issued,issues,issuing
isthmus: isthmus
ita: ita
italian: italian,italians
italic: italic
italy: italy
iter: iter
itinerant: itinerant
itineraria: itineraria
itineraries: itineraries
itinerary: itineraries,itinerary
iv: iv
ivory: ivory
ix: ix
ixion: ixion
jam: jam
james: james
janizaries: janizaries
january: january
jason: jason
javelin: javelin,javelins
jaw: jaw,jaws
jealous: jealous
jealousy: jealousy
jehovah: jehovah
jericho: jericho
jerome: jerome
jerusalem: jerusalem
jest: jest
jesu: jesu
jesuit: jesuit
jesus: jesus
jew: jew
jewel: jewels
jewish: jewish
jews: jews
johan: johan
john: john
joint: joint
joke: joke
jordan: jordan
joseph: joseph
joshua: joshua
journey: journey,journeys
jove: jove
jovian: jovian
joy: joy,joys
joyful: joyful
joyous: joyous
jud: jud
judah: judah
judaic: judaic
judaism: judaism
judas: judas
jude: jude
judex: judex
judge: judge,judged,judges,judging
judging: judging
judgment: judgment
judicature: judicature
judicia: judicia
judicial: judicial
judicious: judicious
judiciously: judiciously
judicium: judicium
jugerum: jugerum
jugurthine: jugurthine
juice: juice
julia: julia
julian: julian
julien: julien
julius: julius
july: july
junction: junction
june: june
junior: junior
junius: junius
jupiter: jupiter
jur: jur
jura: jura
jure: jure
juris: juris
jurisconsult: jurisconsult
jurisdiction: jurisdiction,jurisdictions
jurisprudence: jurisprudence
jus: jus
jussi: jussi
justice: justice
justification: justification
justify: justified,justifies,justify,justifying
justin: justin
justinian: justinian
justitia: justitia
justly: justly
justo: justo
juvenal: juvenal
kappa: kappa
keel: keel
keeper: keepers
kent: kent
kettle: kettle
key: key
khalif: khalif,khalifs
kill: kill,killed
kindle: kindle,kindled
kindly: kindly
kindness: kindness
kindred: kindred
king: king,kings
kingdom: kingdom,kingdoms
kings: kings
kinsman: kinsman,kinsmen
kiosk: kiosk
kiss: kiss,kissed,kisses
knave: knave,knaves
knee: knees
kneel: knelt
knife: knife
knight: knight,knights
knowledge: knowledge
labarum: labarum
labor: labor,labored,labors
laborer: laborers
laborious: laborious
laboriously: laboriously
lactant: lactant
ladder: ladder
laden: laden
lady: ladies,lady
laity: laity
lake: lake,lakes
lament: lament,lamented,laments
lamentation: lamentations
lamp: lamp,lamps
lance: lance,lances
land: land,landed,lands
landing: landing
landlord: landlord
landmark: landmarks
language: language,languages
languedoc: languedoc
languid: languid
languish: languish,languished
largess: largesses
lascivious: lascivious
lasting: lasting
lastly: lastly
late: late
latebra: latebra
latent: latent
lateran: lateran
laticlave: laticlave
latin: latin
latinity: latinity
latinos: latinos
latins: latins
latitude: latitude
latro: latro
laud: laud
laudable: laudable
laugh: laugh,laughed,laughing,laughs
laughter: laughter
launch: launch,launched
laurel: laurel,laurels
laurus: laurus
lavish: lavish,lavished
lavishly: lavishly
law: law,laws
lawful: lawful
lawsuit: lawsuit
lawyer: lawyer,lawyers
lay: laid,lay,laying,lays
layman: layman,laymen
lazy: lazy
le: le
lead: lead,leading,leads,led
leader: leader,leaders
leaf: leaf,leaves
league: league,leagues
lean: leans
leander: leander
leap: leaped,leaping
learn: learn,learned
learnedly: learnedly
learning: learning
leather: leather
leave: leave,leaves,leaving,left
leben: leben
lector: lector
lecture: lectures
leda: leda
left: left
leg: leg,legs
legacy: legacy
legal: legal
legalize: legalized
legally: legally
legate: legates
legation: legation
lege: lege,leges
legend: legend,legends
legendary: legendaries,legendary
leges: leges
legible: legible
legion: legion,legions
legionary: legionaries,legionary
legislation: legislation
legislative: legislative
legislator: legislator,legislators
legitimate: legitimate
legitimum: legitimum
leicester: leicester
leisure: leisure
lend: lent
lenity: lenity
leo: leo
leper: lepers
les: les
lessen: lessened
lesson: lesson,lessons
lethargy: lethargy
lethe: lethe
lett: lett
letter: letter,letters
levant: levant
level: level,levelled
levis: levis
levity: levities,levity
levy: levied,levies,levy
lewis: lewis
lex: leges,lex
liable: liable
lib: lib
libation: libation,libations
libel: libel,libels
libeller: libeller
libera: libera
liberal: liberal
liberality: liberality
liberally: liberally
liberty: liberty
librarian: librarian
library: libraries,library
libya: libya
license: license
licentious: licentious
licentiousness: licentiousness
licet: licet
lick: licked
lictor: lictor,lictors
lie: lie,lies,lying
lieutenant: lieutenant,lieutenants
life: life,lives
lifeless: lifeless
lifetime: lifetime
lift: lift
light: light,lighter,lights
lighted: lighted
lightfoot: lightfoot
lightly: lightly
lightning: lightning,lightnings
likeness: likeness
limb: limbs
limit: limit,limited,limits
limitation: limitation
limited: limited
limo: limo
limpid: limpid
linder: linder
lineal: lineal
linen: linen
linger: lingering
lion: lion,lions
lip: lips
liquidus: liquidus
liquor: liquor
list: list,lists
listen: listen,listened,listening
lite: lites
literal: literal
literally: literally
literary: literary
literature: literature
litter: litter,litters
liv: liv
live: live,lived,living
liveliness: liveliness
lively: lively
liver: liver
living: living
lo: lo
load: load,loaded
loaf: loaves
loc: loc
loca: loca
local: local
locate: located
lock: locks
loco: loco
locum: locum
locus: loci,locus
locust: locusts
lodge: lodge,lodged
loe: loe
lofty: loftiest,lofty
logic: logic
logo: logos
logos: logos
loin: loins
lond: lond
london: london
lonely: lonely
longa: longa
loose: loose
loosen: loosened
loquacious: loquacious
loquitur: loquitur
lord: lord,lords
lorraine: lorraine
lors: lors
lose: lose,loses,losing,lost
loss: loss,losses
lost: lost
lot: lot
loud: loud,louder,loudest
loudly: loudly
loudness: loudness
louvre: louvre
love: love,loved
lover: lover
lowth: lowth
loyal: loyal
loyalty: loyalty
luc: luc
lucan: lucan
lucania: lucania
lucian: lucian
lucid: lucid
lucifer: lucifer
lucius: lucius
lucky: lucky
lucrative: lucrative
luke: luke
luminary: luminaries
luminous: luminous
lump: lump
lurk: lurked
lusitania: lusitania
lust: lust,lusts
lustral: lustral
lustre: lustre
lutetia: lutetia
luxuria: luxuria
luxuriancy: luxuriancy
luxuriant: luxuriant
luxurious: luxurious
luxury: luxury
lx: lx
