abalone: abalone
graze: graze,grazing
grease: grease
greatly: greatly
greco: greco
greece: greece
greedily: greedily
greek: greek,greeks
green: green,greenest
greenery: greenery
greenfish: greenfish
greenish: greenish
greenland: greenland
greenwich: greenwich
greet: greet,greeted
greeting: greeting
grenada: grenada
grenadier: grenadier,grenadiers
griddle: griddles
grief: grief,griefs
grill: grilled
grilling: grilling
grim: grim
grind: grind,ground
grip: grip,gripped
grizzled: grizzled
groan: groaned
grocery: grocery
groove: groove,grooves
grope: grope,groping
ground: ground
grounds: grounds
grouper: groupers
grove: grove
grow: grew,grow,growing,grown,grows
grower: growers
growl: growling
growth: growth
grueling: grueling
gruesome: gruesome
grunt: grunts
grunting: grunting
guaranian: guaranian
guarantee: guaranteed,guarantees
guard: guard,guarded,guards
gudgeon: gudgeon
guerilla: guerilla
guess: guess,guessed
guesswork: guesswork
guest: guests
guiana: guiana
guide: guide,guided,guides,guiding
guinea: guinea
guitarfish: guitarfish
gulf: gulf,gulfs
gulfweed: gulfweed
gull: gulls
gullet: gullet,gullets
gulp: gulp,gulps
gummy: gummy
gun: gun,guns
gunboat: gunboat
gunner: gunner
gunpowder: gunpowder
gunshot: gunshot,gunshots
gunwale: gunwale
gurnard: gurnard,gurnards
gust: gust
gutta: gutta
gymnotus: gymnotus
ha: ha
habeas: habeas
habit: habit,habits
habitat: habitat
habitual: habitual
habitually: habitually
hack: hacked
hades: hades
hague: hague
hail: hail,hailing
hair: hair
hairpiece: hairpiece
hairy: hairy
hake: hake
halfway: halfway
halicore: halicore
halifax: halifax
hallucination: hallucinations
halt: halt,halted,halts
halted: halted
hammer: hammer
hammerhead: hammerhead
hammock: hammocks
hamper: hamper,hampered
hand: hand,handed,handing,hands
handbell: handbells
handed: handed
handiwork: handiwork
handkerchief: handkerchief,handkerchiefs
handle: handle,handled
handrail: handrail
handshake: handshake
handsome: handsome
handsomely: handsomely
handwriting: handwriting
handy: handier,handy
hang: hang,hanging,hangs,hung
haphazard: haphazard
hapless: hapless
happen: happen,happened,happening
happening: happenings
happenstance: happenstance
happily: happily
happiness: happiness
happy: happy
harbor: harbor,harbored
hard: hard,harder,hardest
hardcover: hardcover
harden: harden,hardened
hardship: hardships
hardworking: hardworking
hare: hare,hares
harm: harm
harmless: harmless
harmonious: harmonious
harmony: harmonies,harmony
harness: harness,harnessing
harp: harp
harpoon: harpoon,harpooned,harpooning,harpoons
harpooner: harpooner
harpooners: harpooners
harpooning: harpooning
harrow: harrowed
harrowing: harrowing
harsh: harsh,harshest
hart: hart
harvest: harvest
harvester: harvesters
harvesting: harvesting
hasten: hastened
hastily: hastily
hasty: hasty
hatch: hatch,hatched,hatches,hatching
hate: hate,hated,hates
hatred: hatred
haul: haul,hauled
haunt: haunted,haunting,haunts
havana: havana
haversack: haversack
hawaii: hawaii
hawaiian: hawaiian
hawk: hawks
hawkins: hawkins
hawksbill: hawksbill
haydn: haydn
hazard: hazards
hazardous: hazardous
haze: haze
hazel: hazel
hazily: hazily
hazy: hazy
head: head,headed,heading,heads
headache: headaches
headgear: headgear
heading: heading
headland: headlands
headless: headless
headlong: headlong
headpiece: headpiece
headstrong: headstrong
health: health
healthy: healthy
heap: heap,heaped
hear: hear,heard,hearing
hearing: hearing
heart: heart,hearts
heartily: heartily
heartland: heartland
heartlessly: heartlessly
hearty: hearty
heat: heat,heated,heating
heating: heating
heave: heaved,heaving,hove
heaven: heaven,heavens
heavily: heavily
heaviness: heaviness
heaving: heaving
heavy: heavier,heaviest,heavy
hebrew: hebrew
hebrews: hebrews
hectare: hectare,hectares
hector: hector
hedge: hedges
hee: hee
heed: heeded
heedlessly: heedlessly
heel: heel,heeled,heels
height: height,heights
heighten: heightened
heir: heir
heliotrope: heliotropes
hellenic: hellenic
helm: helm
helmet: helmet,helmets
helmsman: helmsman,helmsmen
helpful: helpful
helplessness: helplessness
helvetia: helvetia
hemisphere: hemisphere,hemispheres
hempen: hempen
henpecked: henpecked
herald: herald,heralds
heraldic: heraldic
herb: herb,herbs
herculean: herculean
hercules: hercules
herd: herd,herds
hereabouts: hereabouts
hermetically: hermetically
hermit: hermit
hero: hero,heroes
heroic: heroic
herring: herring
hesitate: hesitate,hesitated,hesitating
hesitation: hesitation
hew: hewed
hexangular: hexangular
hibernia: hibernia
hibiscus: hibiscus
hidden: hidden
hide: hidden,hide,hides
hideous: hideous
hideously: hideously
hiding: hiding
hieroglyphic: hieroglyphics
highly: highly
hill: hills
hilt: hilt
himalayas: himalayas
hinder: hinder
hindu: hindu
hinge: hinges
hint: hints
hip: hip
hippolytus: hippolytus
hire: hiring
hispanic: hispanic
hiss: hiss,hisses,hissing
hissing: hissing
historian: historian,historians
historic: historic
historical: historical
history: history
hit: hit,hits,hitting
hitch: hitch
hive: hive
hoax: hoaxes
hoc: hoc
hoist: hoist,hoisted
hoisting: hoisting
hold: held,hold,holding,holds
hole: hole,holes
holiday: holiday
holland: holland
hollow: hollow,hollowed,hollows
hollowness: hollowness
holmes: holmes
holocaust: holocaust
holy: holy
homeland: homeland
homer: homer
homeric: homeric
homesickness: homesickness
hometown: hometown
homeward: homeward
hone: honed
honest: honest
honestly: honestly
honesty: honesty
honey: honey
honeycomb: honeycombs
honor: honor,honored,honoring,honors
honorable: honorable
honorary: honorary
hoodwink: hoodwinked
hooflike: hooflike
hook: hook,hooks
hoop: hoops
hop: hop
hope: hope,hoped,hopes,hoping
hopelessly: hopelessly
horde: horde
horizon: horizon,horizons
horizontal: horizontal
horizontally: horizontally
horn: horn,horns
horrible: horrible
horror: horror,horrors
horse: horse,horses
horsepower: horsepower
hose: hose,hoses
hospitable: hospitable
hospitably: hospitably
hospital: hospitals
hospitality: hospitality
host: host,hosts
hostility: hostility
hot: hot,hotter
hotel: hotel
hotly: hotly
hound: hound,hounds
hour: hour,hours
house: house,houses
household: household,households
housing: housing
houston: houston
hove: hove
hover: hovered,hovering
howl: howl,howling
hubbub: hubbub
huddle: huddled
hudson: hudson
hue: hue,hues
hued: hued
hug: hug,hugged
huge: huge
hugo: hugo
hulk: hulks
hull: hull,hulls
human: human
humanity: humanity
humankind: humankind
humble: humble
humbly: humbly
humidistat: humidistat
humiliating: humiliating
hummingbird: hummingbirds
humorous: humorous
hump: humps
humpback: humpback
humph: humph
humus: humus
hunch: hunch,hunches
hundredfold: hundredfold
hungarian: hungarian
hunger: hunger
hungry: hungry
hunk: hunk
hunt: hunt,hunted,hunting,hunts
hunted: hunted
hunter: hunter,hunters
hunting: hunting
huntsman: huntsman
hurl: hurl,hurled
hurricane: hurricane,hurricanes
hurriedly: hurriedly
hurry: hurried,hurry
hurtle: hurtling
husband: husbands
husk: husks
hustle: hustled
hustling: hustling
hut: hut,huts
hydra: hydra
hydras: hydras
hydraulic: hydraulic
hydrogen: hydrogen
hydrographic: hydrographic
hydrography: hydrography
hydromedusa: hydromedusa
hydroxide: hydroxide
hymn: hymn
hypothesis: hypotheses,hypothesis
hyracotherium: hyracotherium
ice: ice
iceberg: iceberg,icebergs
ichthyological: ichthyological
ichthyologist: ichthyologists
ichthyology: ichthyology
icily: icily
icy: icy
idea: idea,ideas
ideal: ideal
identical: identical
identifiable: identifiable
identify: identified,identify,identifying
identity: identities,identity
idle: idle
igneous: igneous
ignite: ignited
ignore: ignoring
iii: iii
iliad: iliad
ilk: ilk
illegal: illegal
illinois: illinois
illness: illness
illuminate: illuminated,illuminating
illumination: illumination
illusion: illusion,illusions
image: image,images
imaginary: imaginary
imagination: imagination
imagine: imagine,imagined,imagining
imagining: imaginings
imam: imam
imbed: imbedded
imbue: imbued
imitate: imitate
immeasurably: immeasurably
immense: immense
immenseness: immenseness
immerse: immersed
immigrant: immigrants
imminent: imminent
immobility: immobility
immovable: immovable
immune: immune
impact: impact
impatience: impatience
impatient: impatient
impatiently: impatiently
impeccably: impeccably
impede: impede,impeded,impeding
impediment: impediments
impending: impending
impenetrable: impenetrable
imperative: imperative
imperceptible: imperceptible
imperceptibly: imperceptibly
imperfect: imperfect
imperfectly: imperfectly
imperial: imperial
imperialism: imperialism
imperialist: imperialist
impervious: impervious
implacable: implacable
import: import
impose: imposed,imposing
impossibility: impossibility
impossible: impossible
impossibly: impossibly
impression: impression,impressions
impressive: impressive
imprint: imprint
imprison: imprison,imprisoned,imprisoning,imprisons
imprisonment: imprisonment
improbable: improbable
improve: improved
improvement: improvement
impulsive: impulsive
impunity: impunity
inaccessible: inaccessible
inachus: inachus
inadequate: inadequate
inadmissible: inadmissible
inanimate: inanimate
inbound: inbound
incalculable: incalculable
incandescence: incandescence
incandescent: incandescent
incapable: incapable
incapacity: incapacity
incarcerate: incarcerating
incas: incas
inch: inch,inched,inches
incident: incident,incidents
incidentally: incidentally
incision: incision
incisor: incisors
incline: inclined
include: include,included,includes,including
incomparable: incomparable
incomplete: incomplete
incomprehensible: incomprehensible
incompressible: incompressible
inconceivable: inconceivable
incontestably: incontestably
inconvenience: inconvenience
inconvenient: inconvenient
inconveniently: inconveniently
increase: increase,increased,increases,increasing
increasingly: increasingly
incredible: incredible
incredibly: incredibly
incurable: incurable
indebted: indebted
indecisive: indecisive
indefinitely: indefinitely
independence: independence
independent: independent
independently: independently
indescribable: indescribable
indestructible: indestructible
india: india
indian: indian,indians
indication: indications
indies: indies
indifference: indifference
indigestion: indigestion
indignation: indignation
indigo: indigo
indiscreet: indiscreet
indiscriminately: indiscriminately
indisposition: indisposition
indisputable: indisputable
indisputably: indisputably
indistinct: indistinct
individual: individual,individuals
individually: individually
indomitable: indomitable
induce: induced,inducing
induction: induction
indulge: indulge
indulgence: indulgence
industrial: industrial
industrialist: industrialist
industrialized: industrialized
industriously: industriously
industry: industry
ineffective: ineffective
ineffectual: ineffectual
inert: inert
inertia: inertia
inevitably: inevitably
inexhaustible: inexhaustible
inexplicable: inexplicable
infallible: infallible
infection: infection
inferior: inferior
infernal: infernal
infest: infest
infiltrate: infiltrated
infinite: infinite
infinitely: infinitely
infinity: infinity
inflame: inflamed
inflammation: inflammation
inflate: inflate,inflated
inflict: inflict,inflicted,inflicting
influence: influence,influenced
influential: influential
influx: influx
inform: inform,informed,informing
informality: informality
informed: informed
infuriate: infuriated
infusoria: infusoria
infusorium: infusoria
ingenious: ingenious
ingeniously: ingeniously
ingenuity: ingenuity
ingot: ingot,ingots
ingratitude: ingratitude
inhabit: inhabit,inhabited,inhabiting,inhabits
inhabitant: inhabitants
inhalation: inhalation,inhalations
inhale: inhale,inhaled,inhaling
inhospitable: inhospitable
inigo: inigo
iniquitous: iniquitous
initial: initial
initially: initially
initiate: initiated
inject: injected
injection: injections
injudicious: injudicious
injury: injuries,injury
ink: ink
inkling: inkling
inlaid: inlaid
inland: inland
innermost: innermost
innocent: innocent
innuendo: innuendo
innumerable: innumerable
inordinately: inordinately
inquiry: inquiries,inquiry
inquisitive: inquisitive
inroad: inroads
insane: insane
insanity: insanity
insatiable: insatiable
inscription: inscription
inscrutable: inscrutable
insect: insects
insensitive: insensitive
inseparable: inseparable
insert: insert,inserted,inserting
inset: inset
insidious: insidious
insight: insight,insights
insinuate: insinuating
insist: insist,insisted
insistently: insistently
insoluble: insoluble
inspect: inspect,inspected
inspection: inspections
inspiration: inspiration
inspire: inspired
instance: instance
instant: instant
instantaneous: instantaneous
instantly: instantly
instinct: instinct,instincts
instinctively: instinctively
institute: institute
institution: institution
instruction: instructions
instrument: instrument,instruments
insulate: insulated
insult: insult,insults
insuperable: insuperable
insurance: insurance
insure: insure,insured,insuring
insurmountable: insurmountable
intellectual: intellectual
intelligent: intelligent
intelligible: intelligible
intemperance: intemperance
intend: intend,intended,intends
intense: intense
intensely: intensely
intensify: intensified
intensity: intensity
intent: intent
intention: intention,intentions
intently: intently
intercept: intercept
interchange: interchange
interior: interior
intermaxillary: intermaxillary
interminable: interminable
intermittent: intermittent
internal: internal
international: international
interpreter: interpreter
interrupt: interrupt,interrupted,interrupting
interrupted: interrupted
intersect: intersected,intersecting
intertropical: intertropical
intertwine: intertwining
interval: interval,intervals
intervene: intervene,intervened,intervening
interview: interview
intimate: intimate
intimidate: intimidate
intolerable: intolerable
intoxication: intoxication
intransigence: intransigence
introduce: introduced
introduction: introduction
invade: invaded,invading
invariable: invariable
invariably: invariably
invasion: invasion
invent: invented
inventor: inventor
investigate: investigated
investigation: investigations
investigator: investigator
investment: investment
investor: investors
invigorate: invigorating
invisible: invisible
invitation: invitation
invite: invited,invites,inviting
invoke: invoke,invoked
involuntarily: involuntarily
involuntary: involuntary
involve: involved,involving
involvement: involvements
invulnerable: invulnerable
iodine: iodine
ionian: ionian
irascible: irascible
ireland: ireland
iris: iris
irish: irish
irishmen: irishmen
iron: iron
ironclad: ironclad
ironic: ironic
ironwork: ironwork
irony: irony
irregular: irregular
irregularity: irregularity
irresistible: irresistible
irresistibly: irresistibly
irresolute: irresolute
irritability: irritability
irritable: irritable
irritated: irritated
irritating: irritating
irritation: irritation
isaac: isaac
isabella: isabella
isidore: isidore
isis: isis
island: island,islands
islander: islander,islanders
islands: islands
isle: isle
isles: isles
islet: islet,islets
isolate: isolated
isolation: isolation
isopod: isopods
isosceles: isosceles
israelites: israelites
issue: issue,issued
isthmus: isthmus
italian: italian,italians
italy: italy
itch: itched
itching: itching
item: items
itinerary: itineraries
ivory: ivory
ivy: ivy
jack: jack,jacks
jacket: jacket,jackets
jackfruit: jackfruit
jackson: jackson
jacques: jacques
jade: jaded
jagged: jagged
jail: jail
jailer: jailers
jam: jam,jammed
james: james
jammed: jammed
january: january
japan: japan
japanese: japanese
jar: jars
java: java
javanese: javanese
jaw: jaw,jaws
jealous: jealous
jean: jean
jelly: jelly
jellyfish: jellyfish
jellylike: jellylike
jeopardize: jeopardize
jeopardy: jeopardy
jerk: jerk
jersey: jersey
jet: jet,jets
jettison: jettisoned
jetty: jetties
jewel: jewel,jewels
jewelfish: jewelfish
jewelry: jewelry
jiggle: jiggled
job: job
john: john
joint: joint,joints
jointed: jointed
joke: joked
jolt: jolt,jolted,jolts
jonahs: jonahs
jorge: jorge
joseph: joseph
josephine: josephine
journal: journal,journals
journalist: journalists
journey: journey,journeys
joy: joy
juan: juan
judge: judge,judges,judging
judgment: judgment,judgments
juice: juice
jules: jules
julius: julius
july: july
jumble: jumble
jump: jump,jumped,jumping,jumps
jumper: jumpers
junction: junction
juncture: juncture
june: june
jungle: jungle,jungles
junket: junkets
jupiter: jupiter
justice: justice
justified: justified
justify: justified
justly: justly
jut: jutted,jutting
juvenile: juvenile
kaffir: kaffir
kaleidoscope: kaleidoscope
kangaroo: kangaroo,kangaroos
kate: kate
kea: kea
keel: keel,keels
keeling: keeling
keg: kegs
kelp: kelp
kestrel: kestrels
kettle: kettle
key: keyed
keyboard: keyboard
kick: kick,kicking,kicks
kill: kill,killed,killing
killer: killer
kilo: kilo,kilos
kilogram: kilogram,kilograms
kilometer: kilometer,kilometers
kindle: kindled
kindly: kindly
king: king
kingdom: kingdom,kingdoms
kingfisher: kingfishers
kit: kit
kitelike: kitelike
knack: knack
knapsack: knapsack
knee: knee,knees
kneel: kneeling,knelt
knife: knife,knifed
knight: knight,knights
knit: knitting
knob: knob
knock: knock,knocked
knot: knot,knots
knowledge: knowledge
knowledgeable: knowledgeable
kraken: kraken,krakens
kuroshio: kuroshio
label: labeled
labor: labored,labors
laborer: laborers
labyrinth: labyrinth
labyrinthine: labyrinthine
lace: lace,laced
lack: lack,lacked,lacking
lactified: lactified
lad: lad,lads
ladder: ladder
laden: laden
lady: ladies,lady
ladyfinger: ladyfingers
ladyfingers: ladyfingers
ladyfish: ladyfish
lag: lag,lagging
lagoon: lagoon
laid: laid
lair: lairs
laird: laird
lake: lake,lakes
lamentable: lamentable
lamp: lamp,lamps
lamprey: lamprey,lampreys
lance: lance
land: land,landed,landing
landing: landing
landlocked: landlocked
landmark: landmarks
landscape: landscape,landscapes
landslide: landslides
lane: lanes
langle: langle
language: language,languages
languedoc: languedoc
languish: languished
lantern: lantern,lanterns
lap: lapped
lapse: lapse
larder: larder
las: las
lash: lashed
lashing: lashings
lastly: lastly
late: late
lateral: lateral
latin: latin
latitude: latitude
latitudes: latitudes
laud: lauding
laugh: laugh,laughing
laughter: laughter
launch: launch,launched
laurencia: laurencia
lava: lava
lavish: lavished
law: law,laws
lawn: lawns
lawrence: lawrence
lay: laid,lay,laying,lays
layer: layer,layers
layover: layover
lazy: lazy
le: le
lead: lead,leading,leads,led
leader: leader
leadership: leadership
leading: leading
leaf: leaf,leafed,leaves
leaflike: leaflike
leafy: leafy
league: league,leagues
leagues: leagues
leak: leak
lean: lean,leaned,leaning
leaning: leaning
leap: leap,leaped,leaping,leaps
lear: lear
learn: learn,learned,learning
leather: leather
leatherback: leatherback
leatherjacket: leatherjacket
leathery: leathery
leave: leave,leaves,leaving,left
lecture: lecture
ledge: ledge
ledger: ledger
leeward: leeward
left: left
leg: leg,legs
legend: legend,legends
legged: legged
legible: legible
legion: legions
legislator: legislator
legitimate: legitimate
leguminous: leguminous
leisure: leisure
lemon: lemon
lengthen: lengthened
lengthwise: lengthwise
lens: lens,lenses
leonardo: leonardo
leone: leone
les: les
lesser: lesser
lesson: lesson
letter: letter
levant: levant
level: level,leveled,levels
lever: levers
leviathan: leviathan
leyden: leyden
liberator: liberator
liberty: liberty
library: library
libya: libya
libyan: libyan
lice: lice
lichen: lichens
lick: lick,licking
lid: lid,lids
lie: lie,lies,lying
lieutenant: lieutenant
life: life,lives
lifeless: lifeless
lifelong: lifelong
lifestyle: lifestyle,lifestyles
lift: lift,lifted,lifting,lifts
ligament: ligaments
light: light,lighter,lighting,lights,lit
lighten: lighten
lighthearted: lighthearted
lighthouse: lighthouse
lighting: lighting
lightly: lightly
lightning: lightning
lightship: lightship
likelihood: likelihood
likeness: likeness
likes: likes
liking: liking
lily: lilies
limb: limb,limbs
limestone: limestone
limit: limit,limited,limits
limited: limited
limitless: limitless
limpet: limpets
limpid: limpid
lincoln: lincoln
linen: linen
liner: liner,liners
linger: linger,lingering
linguistic: linguistic
link: link,linked,links
lion: lion,lions
lip: lips
lipped: lipped
liquid: liquid
liquor: liquor
list: list,listing
listen: listen,listened,listening
listener: listener
listing: listing
liter: liter,liters
literal: literal
literally: literally
literature: literature
litter: litter,littered
livable: livable
live: live,lived,lives,living
lively: lively
liver: liver,livers
liverpool: liverpool
living: living
lloyd: lloyd
loach: loach
load: load,loaded,loading
loading: loading
loaf: loaf
lobe: lobe,lobes
lobed: lobed
lobster: lobster,lobsters
local: local
locality: localities,locality
localize: localized
locate: locate,located
location: location
lock: locked,locks
locker: lockers
locomotion: locomotion
locomotive: locomotive
lodge: lodge,lodged
lofty: lofty
log: log,logged
logbook: logbooks
loggerhead: loggerhead
loggerheads: loggerheads
logic: logic
logical: logical
loin: loin
loiterer: loiterers
london: london
lone: lone
lonely: lonely
longboat: longboat,longboats
longitude: longitude
longleg: longlegs
longnose: longnose
longstanding: longstanding
lookout: lookout
loom: looming
loophole: loophole
loose: loose
loosen: loosen,loosened
lord: lord,lords
lory: lories
lose: lose,loses,losing,lost
loss: loss,losses
lost: lost
loud: loud,louder
louis: louis
lounge: lounge
love: love,loved,loves
lovely: loveliest,lovely
lowering: lowering
lowermost: lowermost
loyal: loyal
lucina: lucina
luck: luck
luckily: luckily
lucky: luckier
lucrative: lucrative
luggage: luggage
luis: luis
lukewarm: lukewarm
lull: lulled,lulls
luminescent: luminescent
luminous: luminous
lumpfish: lumpfish
lunatic: lunatics
lunch: lunch
lung: lungs
lunge: lunge,lunged
lungfish: lungfish
lungful: lungful
lure: lure,lured
lurk: lurked,lurking,lurks
lush: lush
luster: luster
luxuriant: luxuriant
luxurious: luxurious
luxuriously: luxuriously
luxury: luxuries,luxury
lyonnais: lyonnais
lyre: lyre
lyricism: lyricism
machine: machine,machines
machinery: machinery
mackerel: mackerel
macrocystis: macrocystis
macrura: macrura
mad: madder
madagascar: madagascar
madame: madame
madcap: madcap
madeira: madeira
madman: madman
madness: madness
mado: mado
madonna: madonna
madrepore: madrepore
madreporic: madreporic
madrid: madrid
maelstrom: maelstrom
magellan: magellan
magi: magi
magic: magic
magical: magical
magnesia: magnesia
magnesium: magnesium
magnetic: magnetic
magnificent: magnificent
magnify: magnified,magnify
magnifying: magnifying
magnitude: magnitude
magnus: magnus
mahra: mahra
maiden: maidens
mail: mail
main: main
mainland: mainland
mainmast: mainmast
maintain: maintained,maintaining
majestic: majestic
majestically: majestically
majesty: majesty
major: major
majority: majority
maker: makers
makeshift: makeshift
malabar: malabar
malacca: malacca
malarkey: malarkey
malaysia: malaysia
malaysian: malaysian,malaysians
male: male,males
malo: malo
mammal: mammal,mammals
mammalia: mammalia
manage: manage,managed,managing
management: management
manatee: manatee,manatees
mandible: mandibles
maneuver: maneuver,maneuvered,maneuvers
mango: mangoes
mangrove: mangrove
manhole: manhole
mania: mania
maniac: maniac
manifest: manifest
mankind: mankind
manned: manned
manner: manner
mannered: mannered
manners: manners
manrope: manropes
manservant: manservant
manta: manta
mantle: mantle,mantles
manual: manual
manufacture: manufacture,manufactured
manuscript: manuscript
map: map,maps
marble: marble,marbled
marbled: marbled
march: march
mare: mare
margin: margin,margins
marinate: marinated
marine: marine,marines
mariner: mariners
maritime: maritime
mark: mark,marked,marks
marked: marked
market: market,markets
marketplace: marketplace,marketplaces
marking: markings
marlin: marlin
marmalade: marmalade
maroon: maroon
marrow: marrow
marry: married,marry
mars: mars
marseillais: marseillais
marseilles: marseilles
marsh: marsh
marsupial: marsupials
martin: martin
martingale: martingale
martyr: martyr
marvel: marvel,marveled,marveling
marveling: marveling
marvelous: marvelous
mask: masked,masks
masked: masked
masquerade: masquerading
mass: mass,masses
massage: massaged,massaging
mast: mast,masts
master: master,masters
masterpiece: masterpiece,masterpieces
masterwork: masterworks
masthead: mastheads
masting: masting
mat: mat,mats
matapan: matapan
match: match
matchless: matchless
mate: mate,mates
material: material,materials
mathematical: mathematical
mathematically: mathematically
mathematics: mathematics
matter: matter,mattered,matters
matting: matting
mattock: mattock,mattocks
mattress: mattress
maturity: maturity
maxillary: maxillary
maximum: maximum
maze: mazes
meager: meager
meal: meal,meals
mealtime: mealtime
meaning: meaning
meaningful: meaningful
measure: measure,measured,measures,measuring
meat: meat
meaty: meaty
mechanic: mechanic,mechanics
mechanical: mechanical
mechanically: mechanically
mechanism: mechanism,mechanisms
medal: medals
meddle: meddling
medical: medical
medicine: medicine
meditate: meditating
meditation: meditations
mediterranean: mediterranean
medium: medium
medusa: medusas
meekly: meekly
meet: meet,meeting,met
melancholy: melancholy
melanesia: melanesia
melanesian: melanesian
melbourne: melbourne
meleagrina: meleagrina
melodious: melodious
melody: melodies
melon: melon
melt: melted,melting
membrane: membrane,membranes
memento: mementos
memoirs: memoirs
memorable: memorable
memorial: memorial
memory: memories,memory
menagerie: menagerie
mental: mental
mention: mention,mentioned,mentioning,mentions
mentor: mentor
menu: menu
mercantile: mercantile
merchandise: merchandise
merchant: merchant
merciless: merciless
mercury: mercury
mercy: mercy
mere: mere
merge: merged,merges,merging
meridian: meridian,meridians
merit: merits
mermaid: mermaid,mermaids
merrily: merrily
mesh: meshes
mess: mess
message: message
messroom: messroom
metal: metal,metals
metallic: metallic
metamorphose: metamorphosing
mete: mete
meteorite: meteorites
meteorology: meteorology
meter: meter,meters
method: method,methods
methodically: methodically
meticulously: meticulously
metric: metric
mew: mews
mexico: mexico
mezzanine: mezzanine
mica: mica
michael: michael
microbiologist: microbiologist
microscopic: microscopic
midas: midas
middle: middle
midnight: midnight
midocean: midocean
midpoint: midpoint
midst: midst
mightily: mightily
mighty: mighty
migrate: migrated,migrating
migratory: migratory
mild: mild,mildest
mildly: mildly
mile: mile,miles
military: military
milk: milk
milky: milky
mille: mille
millennium: millennia
milligram: milligram
millimeter: millimeter,millimeters
millipede: millipedes
milo: milo
mimic: mimicked
mimosa: mimosas
minaret: minarets
mind: mind,minds
minded: minded
mindless: mindless
miner: miner,miners
mineral: mineral
mineralogical: mineralogical
minerva: minerva
mingle: mingle,mingled,mingling
miniature: miniature
minimum: minimum
mining: mining
minister: minister
minnow: minnows
minor: minor
minority: minority
mint: mint
minute: minute,minutes
miraculous: miraculous
miraculously: miraculously
mirror: mirror,mirrored,mirrors
mirroring: mirroring
misanthropic: misanthropic
misanthropy: misanthropy
miscalculate: miscalculated
miscarry: miscarried,miscarry
miscellaneous: miscellaneous
misery: misery
misfire: misfire,misfires,misfiring
misfortune: misfortune
mishap: mishap
mislead: misled
misplace: misplaced
misshapen: misshapen
mission: mission
mississippi: mississippi
missouri: missouri
mist: mist,mists
mistake: mistake,mistaken,mistaking,mistook
mistaken: mistaken
mistreat: mistreated
misty: misty
misunderstand: misunderstood
miter: miter
mix: mix,mixed,mixing
mixture: mixture
mizzen: mizzen
moan: moan,moaning
mocha: mocha
mock: mocking
mockery: mockery
mode: mode
model: model,modeled
moderate: moderate
moderately: moderately
moderation: moderation
modern: modern,moderns
modest: modest
modifier: modifiers
modulate: modulated
mohammed: mohammed
moist: moist
mold: mold,molded,molds
moldy: moldy
molecule: molecule
mollusca: mollusca
mollusk: mollusk,mollusks
molten: molten
molucca: molucca
moment: moment,moments
momentarily: momentarily
momentary: momentary
momentum: momentum
monastic: monastic
money: money
monitor: monitor,monitored
monk: monk
monkey: monkey
monodelphia: monodelphia
monogamy: monogamy
monogram: monogram
monomania: monomania
monotonous: monotonous
monotony: monotony
monroe: monroe
monsoon: monsoon,monsoons
monster: monster,monsters
monstrous: monstrous
montague: montague
month: month,months
montreal: montreal
monument: monument
monumental: monumental
mood: mood,moods
moon: moon,moons
moonbeam: moonbeams
moonfish: moonfish
moonlike: moonlike
moor: moored
mooring: mooring,moorings
moral: moral
moravian: moravian
moray: moray
morbid: morbid
morning: morning,mornings
morsel: morsel
mortal: mortal
mortally: mortally
mortician: morticians
mosaic: mosaic
moses: moses
mosque: mosques
moss: moss
mother: mother
motif: motifs
motion: motion,motioned,motions
motionless: motionless
motive: motives
motor: motor
mottled: mottled
motto: motto
mound: mound
mount: mounted,mounting
mountain: mountain,mountains
mountaineer: mountaineers
mountainous: mountainous
mountains: mountains
mounting: mounting,mountings
mouth: mouth,mouths
movable: movable
movement: movement,movements
moving: moving
mow: mow
mozambique: mozambique
mozart: mozart
mucilage: mucilage
mucilaginous: mucilaginous
mucus: mucus
mud: mud
muddle: muddled
muddled: muddled
muffled: muffled
mulberry: mulberry
mull: mulling
mullet: mullet
multilobed: multilobed
multiple: multiple
multiply: multiply
mumble: mumbled
murder: murder
murderous: murderous
murex: murex
murillo: murillo
murky: murky
murmur: murmur,murmured
murmuring: murmuring
murray: murray
muscat: muscat
muscle: muscle,muscled,muscles
muscular: muscular
muse: mused,musing
museum: museum,museums
mushroom: mushroom,mushrooms
music: music
musical: musical
musician: musician
musing: musings
musky: musky
mussel: mussel,mussels
mustache: mustache
muster: muster
mute: mute
mutilate: mutilated
mutiny: mutiny
mutter: mutter,muttered,muttering
muzzle: muzzle
myosotis: myosotis
myriad: myriads
myriameter: myriameter
myrtle: myrtle
mysid: mysid
mysteries: mysteries
mysterious: mysterious
mysteriously: mysteriously
mystery: mysteries,mystery
mystifying: mystifying
myth: myth,myths
mythological: mythological
nag: nagged
nail: nailed,nails
naked: naked
napoleon: napoleon
narrate: narrate
narrative: narrative,narratives
narrator: narrator
narrow: narrow,narrower,narrows
narwhale: narwhale,narwhales
nasal: nasal
nasty: nasty
nation: nation,nations
national: national
nationality: nationalities,nationality
native: native,natives
natural: natural
naturalist: naturalist,naturalists
naturally: naturally
nature: nature
natured: natured
nausea: nausea
nautical: nautical
nautilus: nautilus
naval: naval
navel: navel
navigable: navigable
navigate: navigate,navigated,navigates,navigating
navigation: navigation
navigational: navigational
navigator: navigator,navigators
navy: navies,navy
nea: nea
nearer: nearer
