abandon: abandon,abandoned,abandoning
rebellion: rebellion
rebuild: rebuild
recall: recall,recalled,recalling
receipt: receipt
receive: receive,received,receives,receiving
reckon: reckon,reckoning
recognise: recognise,recognised,recognising
recommend: recommended,recommending
reconnaissance: reconnaissance
record: record,recording
recount: recounted,recounting
recover: recover,recovered
rectilinear: rectilinear
rectitude: rectitude
red: red
redouble: redoubled
reduce: reduced,reducing
reed: reeds
reef: reef,reefed
refer: referred
reference: references
reflect: reflect,reflected,reflecting
reflection: reflection,reflections
reform: reform
refrain: refrained
refreshingly: refreshingly
refreshment: refreshment
refuge: refuge
refuse: refuse,refused
regain: regain,regained
regard: regard,regarded
regatta: regatta
regent: regent
region: region
register: registering
regret: regret,regretted
regular: regular
regularity: regularity
regularly: regularly
regulate: regulate,regulated
regulation: regulations
regulator: regulator
rehearse: rehearse
reject: reject,rejected
rejoin: rejoin,rejoined,rejoining
relate: relate,relates
relation: relation,relations
relative: relative,relatives
release: release
reliant: reliant
relief: relief
relieved: relieved
religion: religion,religions
religious: religious
religiously: religiously
relit: relit
rely: rely
remain: remain,remained,remaining
remainder: remainder
remains: remains
remark: remark,remarked
remarkable: remarkable
remember: remember,remembered
remind: reminded
reminiscence: reminiscence
remonstrance: remonstrance,remonstrances
remorse: remorse
remorselessly: remorselessly
remount: remounted
remove: remove,removed
render: render,rendering
renew: renew
reno: reno
repair: repair,repaired,repairing,repairs
repast: repast
repeat: repeat,repeated,repeating
repel: repelled
replace: replaced
reply: replied,replies,reply,replying
report: report,reported,reports
repose: repose,reposes,reposing
represent: represent,represented
representation: representations
representative: representative
repress: repress
reproach: reproach
reproduce: reproduced
republican: republican
repugnance: repugnance
repulse: repulsed
reputation: reputation
request: request,requested,requesting
require: required,requires
rescue: rescue,rescued,rescuing
resemblance: resemblance
resemble: resemble,resembled,resembles
resent: resenting
reserve: reserve
residence: residence
resign: resign,resigned
resin: resin
resist: resisted
resistance: resistance
resolution: resolution
resolve: resolved,resolving
resort: resort
resound: resounded
resource: resource,resources
respect: respected,respecting
respectable: respectable
respond: responded,responding
response: response,responses
responsible: responsible
rest: rest,rested,resting
restaurant: restaurant,restaurants
restless: restless
restoration: restoration
restore: restored
restrain: restrained
result: result
resume: resume,resumed,resuming
resuscitate: resuscitated
retain: retain,retained,retaining
retake: retaken
retaliate: retaliating
retard: retard,retarded,retards
retire: retire,retired,retiring
retirement: retirement
retort: retorted
retreat: retreat,retreats
return: return,returned,returning
reveal: revealed
revelation: revelation
reverend: reverend
reverie: reverie,reveries
reverse: reverse,reversed,reversing
revive: revived,reviving
revolt: revolt,revolted
revolve: revolved
revolver: revolver,revolvers
revolving: revolving
reward: reward,rewarded,rewards
rewarding: rewarding
rhapsody: rhapsody
rhubarb: rhubarb
ribbon: ribbon,ribboned
rice: rice
rich: rich,richest
riches: riches
richly: richly
rid: rid
ride: rode
rider: rider
ridge: ridge
rifle: rifles
rig: rigged
rigging: rigging
rightly: rightly
rise: rise,risen,rises,rising,rose
risk: risk,risked,risking
rite: rites
river: river,rivers
road: road,roads
roadstead: roadstead
roaring: roaring
roast: roast
rob: robbing
robber: robber,robbers
robbery: robbery
robe: robe,robes
robed: robed
robust: robust
rock: rock,rocks
rocky: rocky
rod: rod,rods
rogue: rogue,rogues
roll: roll,rolled
rolling: rolling
roof: roofs
root: root
rope: rope
rose: rose
rosin: rosin
rough: rough
roughly: roughly
roughness: roughness
roundabout: roundabout
rounded: rounded
rout: rout
route: route
routine: routine
row: row,rows
rowan: rowan
royal: royal
rub: rubbed
rubber: rubber,rubbers
rubicund: rubicund
rudder: rudder
ruefully: ruefully
ruffian: ruffian,ruffians
ruin: ruin,ruined,ruins
ruinous: ruinous
ruinously: ruinously
rule: rule
ruler: ruler
ruminate: ruminating
rump: rump
rumpled: rumpled
runner: runners
rush: rush,rushed,rushing
rustle: rustled
sabre: sabre,sabres
sacramento: sacramento
sacred: sacred
sacrifice: sacrifice,sacrificed,sacrifices
sacrilege: sacrilege
sad: sad
saddle: saddle
sadness: sadness
safe: safe,safer
safely: safely
safety: safety
sage: sage
sago: sago
sail: sail,sailed,sailing,sails
sailing: sailing
sailor: sailor,sailors
saint: saint
saints: saints
sake: sake
saki: saki
salary: salaries
saloon: saloon
salt: salt
samuel: samuel
san: san
sandal: sandals
sandy: sandy
sash: sashes
satisfaction: satisfaction
satisfactory: satisfactory
satisfied: satisfied
satisfy: satisfied,satisfy
saturday: saturday
sauce: sauce
saucer: saucer
saunders: saunders
saunter: sauntered,sauntering
savage: savage
save: save,saved,saving
saviour: saviour
saxon: saxon,saxons
scale: scale
scalp: scalp
scan: scan,scanned
scanty: scanty
scarce: scarce
scarcely: scarcely
scarecrow: scarecrows
scarf: scarf,scarfs
scarlet: scarlet
scatter: scattered
scene: scene,scenes
scent: scent
science: sciences
sciences: sciences
scientific: scientific
scintillation: scintillations
scorch: scorched
scotch: scotch
scotland: scotland
scoundrel: scoundrels
scour: scouring
scout: scouted
scratch: scratch
scream: screamed
screech: screech
screen: screen,screens
screw: screw
scroll: scroll
scruple: scruples
scrupulously: scrupulously
scrutinise: scrutinised
scud: scudded,scudding
sculptor: sculptor,sculptors
scurvy: scurvy
sea: sea,seas
seaboard: seaboard
seagull: seagull
seal: seal
seaman: seaman
search: search,searched,searching
season: season
seat: seat,seated,seats
secluded: secluded
secret: secret
sect: sect
sectary: sectaries,sectary
secure: secure,secured,secures,securing
sedately: sedately
sedentary: sedentary
seek: seeking,sought
seemingly: seemingly
seize: seize,seized,seizing
seldom: seldom
sell: sell,sold
seller: sellers
send: send,sending
sensation: sensation
sense: sense
senseless: senseless
sentence: sentence
sentiment: sentiment
separate: separate,separated,separates
sepoy: sepoy
september: september
sequel: sequel
serene: serene
serenity: serenity
sergeant: sergeant
series: series
serpent: serpent,serpents
servant: servant
serve: serve,served,serving
service: service,services
serviceable: serviceable
set: set,sets,setting
settle: settle,settled,settles
settled: settled
settling: settling
seventeen: seventeen
seventh: seventh
severe: severe
severely: severely
sew: sewed
sex: sex
shade: shaded
shades: shades
shadow: shadow
shaft: shaft
shake: shake,shaken,shaking,shook
shaky: shaky
shameful: shameful
shanghai: shanghai
shape: shaped
share: share,shared,sharing
sharp: sharp,sharper
shatter: shatter,shattered
shave: shave,shaved
shaving: shaving
shawl: shawl
sheathing: sheathing
sheet: sheet,sheets
shelf: shelf
shelter: sheltered
sherry: sherry
shilling: shilling,shillings
shine: shining
ship: ship,ships
shipwreck: shipwrecks
shirt: shirts
shiva: shiva
shock: shock,shocks
shoe: shoes
shoeless: shoeless
shoot: shoot,shot
shop: shop,shops
shore: shore,shores
short: short,shorter,shortest
shorten: shorten
shortening: shortening
shortly: shortly
shot: shots
shoulder: shoulder,shoulders
shout: shouted,shouts
shower: showered
showman: showman
shrewd: shrewd
shrewdly: shrewdly
shrewdness: shrewdness
shriek: shrieks
shrill: shrill
shrink: shrank
shroud: shrouded
shrub: shrubs
shrug: shrugging
shudder: shudder,shuddered
shuffling: shuffling
shut: shut
shuttlecock: shuttlecocks
sick: sick
sickness: sickness
sided: sided
sidewalk: sidewalk
siege: siege
sierra: sierra
sight: sight,sighted,sights
sign: sign,signed,signs
signal: signal,signalled,signals
signify: signified
silence: silence
silent: silent
silk: silk
silken: silken
silver: silver
simple: simple,simplest
simply: simply
sincerity: sincerity
sing: sang,sing
singapore: singapore
singer: singer
singing: singing
single: single
singular: singular
singularly: singularly
sink: sank
sioux: sioux
sir: sir
sit: sat,sit,sitting
situate: situated
situation: situation
sixpence: sixpence
sixteen: sixteen
sixth: sixth
sixtieth: sixtieth
size: sizes
sized: sized
skeleton: skeleton
skilful: skilful
skilfully: skilfully
skill: skill
skilled: skilled
skim: skimming
skin: skin
skip: skipped,skipping
skirt: skirted,skirting,skirts
sky: skies,sky
slacken: slacken,slackened,slackening
sledge: sledge,sledges
sleek: sleek
sleep: sleep,sleeping,slept
sleeve: sleeve
slender: slender
slice: slice
slide: slid
slight: slight,slightest
slip: slip,slipped,slipping,slips
slipper: slippers
sloop: sloop
slope: slope
slow: slow
slowly: slowly
sluggishness: sluggishness
slumber: slumbered,slumbers
slumberer: slumberers
slumbering: slumbering
sly: sly
smack: smacks
smash: smashed
smear: smeared
smell: smelling
smile: smile,smiled,smiling
smith: smith
smoke: smoke,smoked,smoking
smoker: smoker,smokers
smoking: smoking
smooth: smooth,smoothed
smoothly: smoothly
snail: snail
snake: snakes
snatch: snatch
snore: snores
snow: snow,snowing
snugly: snugly
soak: soaked
sober: sobered
social: social
society: societies,society
soft: soft,softer
softly: softly
soil: soil
sojourn: sojourning
solar: solar
soldier: soldier,soldiers
sole: sole,soles
solely: solely
solemn: solemn
solemnly: solemnly
solid: solid
solidly: solidly
solitary: solitary
solitude: solitude
solomon: solomon
solution: solution
solve: solve,solved
sombre: sombre
sombreros: sombreros
somersault: somersaults
son: son
song: songs
sons: sons
sore: sore
sorely: sorely
sort: sort,sorts
sot: sots
soul: soul,souls
sound: sound,sounded
soup: soup
source: sources
south: south
southerly: southerly
southern: southern
southward: southward
sow: sown
space: space
spacious: spacious
spade: spade,spades
spar: spars
spare: spare
spark: spark
sparrow: sparrows
speak: speak,speaking,speaks,spoke,spoken
special: special
species: species
specific: specific
spectacle: spectacle
spectator: spectators
spectre: spectre
speech: speech
speechless: speechless
speed: sped,speed
speedily: speedily
speedy: speedy
spend: spend,spending,spent
spice: spiced
spiced: spiced
spinning: spinning
spiral: spirals
spirit: spirit,spirits
spiritual: spiritual
spite: spite
splendid: splendid
spoke: spokes
spot: spot,spotted
spouse: spouse
sprawl: sprawling
spray: spray
spread: spread
sprightly: sprightly
spring: spring
spur: spur,spurred,spurs
spy: spy,spying
squabble: squabble
squad: squad
squalid: squalid
squall: squall,squalls
square: square,squares
squarely: squarely
staff: staffs
stage: stage
stagger: staggered,staggering
staggering: staggering
stain: stained
stair: stairs
stairway: stairway
stake: stake,staked
stall: stalls
stammer: stammered
stamp: stamp,stamped
stand: stand,standing,stands,stood
standard: standard
standing: standing
star: star,stars
stare: stared,staring
start: start,started,starting,starts
starting: starting
startled: startled
starve: starved
station: station,stationed,stations
stationary: stationary
statue: statue
stature: stature
stay: stay,stayed,staying
stead: stead
steadily: steadily
steady: steady
steal: stealing,stolen
steam: steam,steamed,steaming
steamboat: steamboats
steamer: steamer,steamers
steamship: steamship
stem: stems
step: step,stepped,steps
sterling: sterling
stern: stern
sternly: sternly
steward: steward
stick: stick,sticks
stiffen: stiffened
stifle: stifled
stimulate: stimulate,stimulated
stipulate: stipulated
stir: stir,stirring
stocking: stockings
stoical: stoical
stoker: stoker,stokers
stoppage: stoppages
store: stored,stores
storm: storm
story: stories,story
stout: stout
straggle: straggling
straight: straight
straightway: straightway
strait: strait,straits
straits: straits
strand: strand
strange: strange
strangely: strangely
stranger: stranger,strangers
strangle: strangle,strangled
strangler: stranglers
strata: strata
straw: straw
stray: strayed
stream: stream,streams
streamer: streamers
street: street,streets
strength: strength
stretch: stretched
strew: strewn
stricken: stricken
strict: strictest
stride: striding
strike: strike,striking,struck
striking: striking
strikingly: strikingly
string: strings
stringed: stringed
stringent: stringent
stringy: stringy
strip: striped
stripe: stripes
strive: striving
stroke: stroke,strokes
stroll: strolling
strong: strong
stronghold: stronghold
struggle: struggle,struggled,struggling
stuart: stuart
study: studied,study,studying
stuff: stuff,stuffed
stun: stunned
stupefaction: stupefaction
stupefied: stupefied
stupefy: stupefied
stupefying: stupefying
stupid: stupid
stupor: stupor
sturdy: sturdy
style: style
subject: subject,subjected,subjects
submerge: submerged
submit: submit,submitted
subordinate: subordinates
subside: subside,subsided
subsidy: subsidy
succeed: succeed,succeeded
success: success
successful: successful
succession: succession
successively: successively
successor: successor
succour: succour
succulent: succulent
sudden: sudden
suddenly: suddenly
suddenness: suddenness
suez: suez
suffer: suffer,suffered,suffering
suffice: suffice,sufficed,suffices
sufficient: sufficient
sugar: sugar
suicide: suicide
suit: suit,suits
suitable: suitable
suitably: suitably
suite: suites
sum: sum,sums
sumatra: sumatra
summer: summer
summit: summits
summon: summoned
sumptuous: sumptuous
sumptuously: sumptuously
sumptuousness: sumptuousness
sun: sun
sunburnt: sunburnt
sunday: sunday
sunrise: sunrise
superb: superb
superfluous: superfluous
superhumanly: superhumanly
superior: superior
superiority: superiority
supper: supper
supple: supple
suppleness: suppleness
supply: supplied,supply
support: supported
suppose: suppose,supposed,supposing
supremacy: supremacy
supreme: supreme
surat: surat
surely: surely
surface: surface
surge: surge,surges
surname: surname
surprise: surprise,surprised
surprised: surprised
surrey: surrey
surround: surrounded
susceptible: susceptible
suspect: suspect,suspected,suspecting
suspend: suspend,suspended
suspense: suspense
suspension: suspension
suspicion: suspicions
suspicious: suspicious
sustain: sustained
suttee: suttee
swallow: swallows
swamp: swamping
swan: swan
swarm: swarm,swarmed,swarming
sway: sway,swayed,swaying
swear: swear,swore
sweden: sweden
sweep: swept
sweet: sweet,sweets
sweetness: sweetness
swell: swelled,swelling
swift: swift
swim: swim
swing: swung
swinging: swinging
swoon: swoon
syenite: syenite
symbolise: symbolise
symmetry: symmetry
sympathetic: sympathetic
sympathy: sympathy
synagogue: synagogues
table: table,tables
taciturn: taciturn
tailor: tailor
talent: talent,talents
talk: talk,talked,talking,talks
talkative: talkative
tall: tall
tam: tam,tams
tambourine: tambourines
tanka: tankas
tap: tapped
tar: tar
tart: tart
task: task
taste: taste,tasted,tastes
tasteful: tasteful
tattered: tattered
tatters: tatters
tavern: tavern,taverns
tax: tax
tea: tea
teach: teach
teakwood: teakwood
tear: tears,tore
telegram: telegrams
telegraph: telegraph,telegraphed
telegraphic: telegraphic
telescope: telescopes
temp: tempest
temperament: temperament
temperature: temperature
tempest: tempest,tempests
tempestuous: tempestuous
temple: temple,temples
tempt: tempted
tenacity: tenacity
tendency: tendency
tender: tender
tent: tents
term: terms
termination: termination
terminus: terminus
terrace: terrace
terrestrial: terrestrial
terrible: terrible
terribly: terribly
terrific: terrific
territory: territories,territory
terror: terror
thankful: thankful
theatre: theatre
theatrical: theatrical
theoretically: theoretically
theory: theory
thereabout: thereabouts
thicket: thicket
thickly: thickly
thief: thief
thinking: thinking
thirst: thirst
thirteen: thirteen
thither: thither
thomas: thomas
thrash: thrashing
thread: thread
threaten: threaten,threatening
threatening: threatening
threshold: threshold
thrifty: thrifty
throat: throat
throb: throbbed
throw: threw,throw,throwing,thrown
thrust: thrusting
thuggee: thuggee
thuggees: thuggees
thump: thumps
thunderstruck: thunderstruck
thursday: thursday
ticket: tickets
tide: tide
tie: tied,ties
tiger: tiger,tigers
tight: tight
tighten: tightened
tightly: tightly
time: time,times
timepiece: timepiece
times: times
timetable: timetables
timid: timid
timidly: timidly
tinge: tinge
tint: tinted
tinted: tinted
tissue: tissue
toast: toast
tobacco: tobacco
toe: toes
toilet: toilet,toilets
tolerate: tolerate
tomb: tomb
tomorrow: tomorrow
ton: ton,tons
tone: tone,tones
tongue: tongue
tonnage: tonnage
tooth: teeth,tooth
topic: topic
torch: torch,torches
torpor: torpor
torrent: torrent,torrents
torture: tortured,tortures
toss: tossed
total: total
totally: totally
totter: totter,tottered
touch: touched
touchhole: touchhole
touching: touching
tour: tour
tourist: tourist
tower: tower,towers
town: town,towns
toy: toy
trace: trace,traced,traces
track: track,tracked,tracks
tracking: tracking
tract: tract,tracts
traction: traction
trade: trade,traded,trades
trading: trading
trail: trails
train: train,trains
traitor: traitor
tranquil: tranquil
tranquillity: tranquillity
tranquilly: tranquilly
transact: transacted
transaction: transactions
transatlantic: transatlantic
transfer: transferred
transform: transformed
transit: transit
translation: translation
translator: translator
transpire: transpired
transport: transport,transporting
transportation: transportation
travel: travel,travelled,travelling
traveling: traveling
traveller: traveller,travellers
travelling: travelling
travels: travels
traverse: traverse,traversed,traverses,traversing
tread: trod
treason: treason
treasure: treasure,treasures
treat: treat,treated
treatment: treatment
treaty: treaty
tree: tree,trees
tremble: trembled,trembling
tress: tresses
trial: trials
triangle: triangle
triangular: triangular
tribe: tribe
tributary: tributaries,tributary
trick: trick,tricks
trickery: trickery
trifle: trifle
trip: trip
triumph: triumph
triumphantly: triumphantly
troop: troop
troops: troops
tropic: tropic
tropical: tropical
trot: trot,trotting
trouble: trouble,troubled
trough: trough
troupe: troupe
trousers: trousers
truck: truck
trudge: trudge
true: true
trump: trumps
trumps: trumps
trunk: trunk,trunks
trust: trust
truth: truth
tube: tubes
tumble: tumbling
tumbled: tumbled
tumultuous: tumultuous
tunic: tunic
tunnel: tunnel,tunnels
turban: turban,turbans
turtle: turtles
twentieth: twentieth
twilight: twilight
twine: twined
twist: twist,twisted
twitching: twitching
tycoon: tycoon
type: type
typhoon: typhoon
tyre: tyres
ugly: ugly
unable: unable
unaccustomed: unaccustomed
unaffected: unaffected
unarmed: unarmed
unattainable: unattainable
unbroken: unbroken
uncertainty: uncertainty
unchain: unchain
unclean: unclean
uncomfortable: uncomfortable
uncommon: uncommon
unconscious: unconscious
unconsciously: unconsciously
uncut: uncut
undecided: undecided
undergo: undergoes
understand: understand,understood
undertake: undertaking
undiminished: undiminished
undoubtedly: undoubtedly
undulation: undulations
uneasy: uneasy
unequal: unequal
unequally: unequally
unexpectedly: unexpectedly
unfavourable: unfavourable
unfold: unfolded
unforeseen: unforeseen
unfortunate: unfortunate
unfulfilled: unfulfilled
unfurl: unfurled
unhappily: unhappily
unharmed: unharmed
unheard: unheard
uniform: uniform
uninhabited: uninhabited
uninterrupted: uninterrupted
union: union
unite: united,unites
united: united
unknown: unknown
unlimited: unlimited
unloading: unloading
unloose: unloosed
unluckily: unluckily
unmask: unmask
unmistakable: unmistakable
unmoved: unmoved
unnaturally: unnaturally
unnecessary: unnecessary
unobserved: unobserved
unoccupied: unoccupied
unpardonable: unpardonable
unperceived: unperceived
unpleasant: unpleasant
unpoetically: unpoetically
unpropitious: unpropitious
unprotected: unprotected
unreasonable: unreasonable
unreliable: unreliable
unrest: unrest
unsafe: unsafe
unscrew: unscrewing
unspread: unspread
unusual: unusual
unvarying: unvarying
unwearying: unwearying
unwieldy: unwieldy
unwilling: unwilling
unwonted: unwonted
unwrinkled: unwrinkled
upper: upper
upright: upright
uranus: uranus
urge: urge,urged
useless: useless
uselessness: uselessness
usual: usual
utah: utah
utter: utter,uttered,uttering
vacancy: vacancy
vacant: vacant
vacation: vacation
vagabond: vagabond
vagrant: vagrant
vaguely: vaguely
vain: vain
vainly: vainly
valet: valet
valley: valley
valuable: valuable
valve: valve,valves
van: vans
vanish: vanished
vanity: vanity
vanquish: vanquished
vari: vari
varied: varied
vary: varied,vary,varying
vast: vast
vault: vault,vaulted
veer: veer,veered,veering
vehicle: vehicle,vehicles
vein: veins
velocity: velocity
venerable: venerable
venerate: venerated
vengeance: vengeance
venture: venture,ventured,venturing
venturesome: venturesome
veranda: verandas
verdant: verdant
verdure: verdure
verge: verge
vermilion: vermilion
vermont: vermont
vessel: vessel,vessels
vest: vest
vex: vexed
vexation: vexation,vexations
viaduct: viaducts
viand: viands
vibrate: vibrated
vice: vices
vicinity: vicinity
vicissitude: vicissitudes
victim: victim,victims
victor: victor
victoria: victoria
victorious: victorious
victory: victory
view: view
vigorous: vigorous
vigorously: vigorously
vii: vii
viii: viii
village: village,villages
villain: villain
viol: viol,viols
violate: violate,violated,violating
violence: violence
violent: violent
violently: violently
violet: violets
violin: violin
visa: visa,visaed
visage: visage
vishnu: vishnu
visible: visible
visit: visit,visited,visits
vitals: vitals
vocal: vocal
vocation: vocation
voice: voice,voices
volley: volley
volubly: volubly
voluntary: voluntary
volunteer: volunteered,volunteers
vomit: vomited
voracious: voracious
vote: vote
voter: voters
voyage: voyage
wager: wager,wagers
waggon: waggons
waist: waist,waists
waistcoat: waistcoat
wait: wait,waited,waiting
waiter: waiters
waiting: waiting
wake: wake,waking,woke
walk: walk,walked,walking,walks
walking: walking
wall: wall,walls
wander: wander,wandered,wandering
wane: wane
war: war
wardrobe: wardrobe,wardrobes
warehouse: warehouse,warehouses
warlike: warlike
warm: warm,warmed
warmly: warmly
warmth: warmth
warn: warn,warned
warped: warped
warrant: warrant
wart: warts
wash: washed
watch: watch,watched,watches,watching
water: water,watered,waters
waterspout: waterspout
wave: wave,waves
waver: wavered
wax: wax
waylay: waylaid,waylay
wayne: wayne
wealth: wealth
wealthy: wealthy
weapon: weapon,weapons
wear: wear,wearing,wore,worn
wearisome: wearisome
weary: weary
weather: weather,weathered
weber: weber
wednesday: wednesday
week: week
weep: weeping,wept
weigh: weigh,weighed,weighing
weight: weight
weird: weird
west: west
western: western
westminster: westminster
westward: westward
wharf: wharf,wharves
wheat: wheat
wheel: wheel,wheeled,wheels
wheelbarrow: wheelbarrow
wheeled: wheeled
whereof: whereof
whereon: whereon
whimsical: whimsical
whirl: whirled,whirling
whirling: whirling
whisker: whiskers
whiskey: whiskey
whisper: whispered
whist: whist
whistle: whistle,whistled,whistles,whistling
white: white
whiteness: whiteness
whiz: whizzed
wholly: wholly
wicked: wicked
wide: wide
widow: widow
wife: wife,wives
wig: wig,wigs
wild: wild
william: william
willingly: willingly
willow: willows
wilson: wilson
win: win,winning
wind: wind,winding,winds,wound
windfall: windfalls
winding: windings
window: window,windows
wine: wine
wing: wings
wink: winking
winnings: winnings
winter: winter
wire: wire,wires
wise: wise
wit: wits
wolf: wolf,wolves
woman: woman,women
wonderful: wonderful
wood: wood,woods
wooden: wooden
word: word
workman: workmen
worm: worm,worms
worry: worries,worry,worrying
worship: worship,worshipped
wort: wort
worth: worth
worthy: worthy
wound: wound,wounded
wounded: wounded
wrap: wrapped
wrath: wrath
wreath: wreaths
wretch: wretch
wretched: wretched
wrinkle: wrinkled
write: written
writhe: writhing
wrong: wrong
wry: wry
wyoming: wyoming
xi: xi
xii: xii
xiii: xiii
xiv: xiv
xix: xix
xvi: xvi
xvii: xvii
xviii: xviii
xx: xx
xxi: xxi
xxii: xxii
xxiii: xxiii
xxiv: xxiv
xxv: xxv
xxx: xxx
yacht: yacht,yachts
yankee: yankee
yard: yard,yards
yearn: yearned
yellow: yellow
yellowish: yellowish
yesterday: yesterday
yield: yield,yielded,yielding
yoking: yoking
yokohama: yokohama
york: york
youth: youth
zeal: zeal
zebus: zebus
zenith: zenith
zephyr: zephyrs
zoroaster: zoroaster
