abandon: abandon,abandons
hazard: hazard,hazards
hazardous: hazardous
head: head,heads
headless: headless
headlong: headlong
headstall: headstalls
headstrong: headstrong
heal: heal,healed,healing
healing: healing
health: health
healthy: healthy
heap: heap,heaping,heaps
heaps: heaps
heapy: heapy
hear: hear,heard,hearing,hears
hearer: hearer,hearers
hearing: hearing
heart: heart,hearts
hearten: hearten
heartfelt: heartfelt
heartless: heartless
hearty: hearty
heat: heat
heathen: heathen
heave: heave,heaved,heaves,heaving
heaven: heaven,heavens
heavenly: heavenly
heavens: heavens
heavenward: heavenward
heaving: heaving
heavy: heavier,heaviest,heavy
hebe: hebe
hecatomb: hecatomb,hecatombs
hector: hector
hectorean: hectorean
hecuba: hecuba
heed: heed,heeds
heedful: heedful
heedless: heedless
heel: heel,heels
heifer: heifer,heifers
height: height
heighten: heightened
heir: heir,heirs
helen: helen
helenus: helenus
helicon: helicon
hellenes: hellenes
hellespont: hellespont
helm: helm,helms
helmet: helmet,helmets
helms: helms
helpful: helpful
helpless: helpless
henceforth: henceforth
heraclid: heraclid
herald: herald,heralds
herb: herb,herbs
herbage: herbage
herculean: herculean
hercules: hercules
herd: herd,herded,herds
herdsman: herdsman,herdsmen
hereditary: hereditary
hermes: hermes
hero: hero,heroes
heroes: heroes
heroic: heroic
heroine: heroines
heron: heron
hesiodic: hesiodic
hesitate: hesitating
hesitation: hesitation
hesper: hesper
hew: hew,hewn
hexameter: hexameter
hide: hidden,hide,hides
hideous: hideous
hie: hie
hierarchy: hierarchy
hieroglyphical: hieroglyphical
highly: highly
highway: highway
hill: hill,hills
hilt: hilt
hind: hind,hinds
hindmost: hindmost
hinge: hinges
hint: hint,hints
hip: hip
hippodame: hippodame
hippodamia: hippodamia
hippomedon: hippomedon
hipponous: hipponous
hiss: hiss,hisses,hissing
hissing: hissing
hist: hist
historian: historian
historic: historic
historical: historical
historically: historically
history: histories,history
hitherto: hitherto
hive: hive
hoar: hoar
hoarse: hoarse
hoary: hoary
hoist: hoist,hoisted
hold: held,hold,holds
holder: holder
holding: holding
hollow: hollow
holy: holy
hom: hom
homage: homage
homeopathic: homeopathic
homer: homer,homers
homeric: homeric
homicide: homicide
honest: honest
honey: honey
honor: honor
honorary: honorary
honour: honour,honoured,honours
honourable: honourable
hoof: hoof,hoofs
hope: hope,hoped,hopes
hopeless: hopeless
horace: horace
horizon: horizon
horn: horn,horns
hornet: hornet
horrible: horrible
horribly: horribly
horrid: horrid
horror: horror,horrors
horse: horse,horses
horseman: horseman,horsemen
hospitable: hospitable
hospitality: hospitality
host: host,hosts
hostile: hostile
hot: hot
hound: hound,hounds
hour: hour,hours
house: house,houses
household: household
hover: hover,hovering,hovers
howl: howl,howling,howls
huddle: huddled
hue: hue
huge: huge,huger
human: human
humanity: humanity
humankind: humankind
humble: humble,humbled,humbler,humbles
humid: humid
humorous: humorous
humour: humour,humours
hung: hung
hunger: hunger
hungry: hungry
hunt: hunted
hunter: hunter,hunters
huntress: huntress
huntsman: huntsman,huntsmen
hurl: hurl,hurls
hurls: hurls
hurry: hurried,hurries
hurt: hurt,hurts
husband: husband,husbands
husbandman: husbandmen
hush: hush
hut: hut
hyacinth: hyacinth,hyacinths
hyde: hyde
hydra: hydra
hyllus: hyllus
hymeneal: hymeneal
hymn: hymn,hymns
hyperion: hyperion
hypochondria: hypochondria
hypothesis: hypotheses,hypothesis
hypsipyle: hypsipyle
iambic: iambic
iapetus: iapetus
iberia: iberia
ibid: ibid
icarian: icarian
ichor: ichor
ida: ida
idaean: idaean
ide: ide
idea: idea,ideas
idealized: idealized
identification: identification
identify: identifies,identify,identifying
idle: idle
idly: idly
idolize: idolize
idomeneus: idomeneus
ignipotent: ignipotent
ignoble: ignoble
ignobly: ignobly
ignominious: ignominious
ignorance: ignorance
ignorant: ignorant
iii: iii
iliad: iliad
ilian: ilian
ilion: ilion
ilium: ilium
illumine: illumined
illumined: illumined
illusion: illusion
illustrate: illustrate,illustrated,illustrates
illustration: illustration,illustrations
illustrious: illustrious
image: image,images
imagery: imagery
imaginable: imaginable
imaginary: imaginary
imagination: imagination,imaginations
imagine: imagine,imagined,imagines
imbitters: imbitters
imbue: imbued
imitate: imitate,imitated,imitating
imitation: imitation
imitator: imitators
immeasurable: immeasurable
immeasurably: immeasurably
immense: immense
immerse: immerse,immersed
immigrant: immigrants
immigration: immigrations
imminent: imminent
immolate: immolate,immolated
immortal: immortal,immortals
immortality: immortality
immunity: immunity
immutable: immutable
impair: impairing
impart: impart,imparts
impartial: impartial
impassive: impassive
impatience: impatience
impatient: impatient
impel: impel,impelled,impels
impend: impend,impending,impends
impending: impending
impenetrable: impenetrable
imperatively: imperatively
imperfect: imperfect
imperfection: imperfection
imperial: imperial
imperious: imperious
impertinent: impertinent
impervious: impervious
impetuosity: impetuosity
impetuous: impetuous
impious: impious
implacable: implacable
implicit: implicit
implore: implore,implored,implores,imploring
imply: implied,imply
import: import
impose: imposed
impossible: impossible
impostor: impostor
imposture: imposture,impostures
impotence: impotence
impotent: impotent
impower: impower
imprecation: imprecations
impregnate: impregnate
impress: impress
impression: impression,impressions
imprison: imprison
improbability: improbability
improbable: improbable
improve: improve,improved,improving
improved: improved
improvisation: improvisation
impudence: impudence
impulse: impulse,impulses
impulsive: impulsive
inability: inability
inaccurate: inaccurate
inactive: inactive
inactivity: inactivity
inanimate: inanimated
inaptly: inaptly
incalculable: incalculable
incapable: incapable
incarnation: incarnation
incaution: incaution
incense: incense,incensed,incenses
incensed: incensed
incessant: incessant
inch: inch
incident: incidents
incidental: incidental
incidentally: incidentally
incircle: incircle
incite: incite,incited,incites,inciting
inclement: inclement
incline: incline,inclined
inclined: inclined
inclose: inclose,inclosed,inclosing
inclosed: inclosed
inclosure: inclosure
include: include,included,includes,including
including: including
inclusive: inclusive
income: income
incomplete: incomplete
incongruity: incongruities,incongruity
inconsistency: inconsistency
inconsistent: inconsistent
increase: increase,increased,increases,increasing
incredible: incredible
inculcate: inculcated
incumbent: incumbent
incur: incurred,incurring
incursion: incursions
indebt: indebted
indebted: indebted
indefatigable: indefatigable
indefinite: indefinite
indemnify: indemnify
indemnity: indemnity
independence: independence
independent: independent
indian: indian
indication: indication
indignant: indignant
indignation: indignation
indirect: indirect
indirectly: indirectly
indiscretion: indiscretion
indispensable: indispensable
indispensably: indispensably
indissolubly: indissolubly
indistinct: indistinct
indistinctly: indistinctly
individual: individual,individuals
indolent: indolent
induce: induce,induced
inducement: inducement
induction: induction
indulge: indulge,indulged,indulging
indulgence: indulgence
indulgent: indulgent
industrious: industrious
industry: industry
inevitable: inevitable
inexorable: inexorable
inexplicable: inexplicable
inextricable: inextricable
inf: infest
infallible: infallible
infallibly: infallibly
infamy: infamy
infancy: infancy
infant: infant,infants
infection: infection
infectious: infectious
infer: infers
inference: inference
inferior: inferior,inferiors
inferiority: inferiority
infernal: infernal
inferno: inferno
infest: infest
infidelity: infidelity
infinite: infinite
infinitely: infinitely
infinitude: infinitude
infinitum: infinitum
infix: infix
inflame: inflame,inflamed,inflames,inflaming
inflexible: inflexible
inflexibly: inflexibly
inflict: inflict,inflicted,inflicting,inflicts
influence: influence,influences
infold: infold,infolding
inform: inform,informed,informing,informs
informant: informant
infrangible: infrangible
infringe: infringe,infringed
infringement: infringement
infuse: infuse,infused
ingenious: ingenious
ingeniously: ingeniously
ingenuity: ingenuity
inglorious: inglorious
ingredient: ingredient
inhabit: inhabit,inhabited,inhabiting
inhabitant: inhabitants
inherit: inherited
inheritance: inheritance
inhuman: inhuman
inhume: inhume
inimitable: inimitable
injudicious: injudicious
injunction: injunction,injunctions
injure: injured,injures
injured: injured
injurious: injurious
injury: injuries,injury
injustice: injustice
inlaid: inlaid
inlay: inlay
inly: inly
inmost: inmost
innocent: innocent,innocents
innocently: innocently
innoxious: innoxious
innumerable: innumerable
ino: ino
inquire: inquire,inquired
inquiry: inquiries
inroll: inroll
insatiable: insatiable
insatiate: insatiate
inscribe: inscribed
inscription: inscription,inscriptions
insect: insects
insensible: insensible
insert: inserted
insidious: insidious
insight: insight
insignia: insignia
insignificant: insignificant
insist: insist,insisted
insolence: insolence
insolent: insolent
insolently: insolently
insomuch: insomuch
inspiration: inspirations
inspire: inspire,inspired,inspires,inspiring
inspiring: inspiring
inspirit: inspirited,inspiriting
instance: instance,instances
instant: instant
instantly: instantly
instigation: instigation
instil: instilling
instinct: instinct
instinctive: instinctive
institute: instituted,institutes
instruct: instruct,instructs
instruction: instruction,instructions
instructive: instructive
instrument: instrument,instruments
insufferable: insufferable
insult: insult,insulted,insulting,insults
insulting: insulting
insure: insure
integrity: integrity
intellect: intellect
intellectual: intellectual
intelligence: intelligence
intelligent: intelligent
intelligible: intelligible
intemperate: intemperate
intend: intend,intended
intense: intense
intent: intent
intention: intention,intentions
inter: inter
intercept: intercept
intercession: intercession
intercourse: intercourse
interdict: interdict,interdicted
interference: interference
intermediate: intermediate
interment: interment
intermingle: intermingled
internal: internal
international: international
interpolation: interpolation,interpolations
interpose: interposed,interposing
interposition: interposition
interpret: interpreted
interpretation: interpretation
interpreter: interpreter
interrogate: interrogating
interrupt: interrupted,interrupting
interruption: interruption
intersperse: interspersed
interval: interval
intervention: intervention
interview: interview
interweave: interwoven
intimate: intimate,intimated
intolerable: intolerable
intonation: intonation,intonations
intone: intoned
intractable: intractable
intreat: intreating
intrench: intrench
intrepid: intrepid
introd: introd
introduce: introduce,introduced,introducing
introduction: introduction
intrude: intruding
intrusive: intrusive
inundation: inundation
inurn: inurn
invade: invade,invades,invading
invalidity: invalidity
invasion: invasion
inventor: inventor,inventors
invest: invest
investigation: investigation,investigations
invidious: invidious
inviolable: inviolable
inviolate: inviolate
invisible: invisible
invitation: invitation
invite: invite,invited,invites,inviting
inviting: inviting
invoke: invoked,invokes,invoking
involve: involve,involved,involves,involving
invulnerable: invulnerable
inwrought: inwrought
ionic: ionic
ios: ios
iphigenia: iphigenia
iphis: iphis
ire: ire
iris: iris
iron: iron
ironside: ironside
irregular: irregular
irregularity: irregularity
irremeable: irremeable
irresistible: irresistible
irresistibly: irresistibly
irreverence: irreverence
irrevocable: irrevocable
irs: irs
island: island,islands
isle: isle,isles
islet: islet
issue: issue,issued,issues,issuing
issuing: issuing
italian: italian
italy: italy
ithaca: ithaca
iv: iv
ivory: ivory
ivy: ivy
ix: ix
ixion: ixion
jackal: jackals
jacob: jacob
jamie: jamie
jar: jar,jarring,jars
jason: jason
javelin: javelin,javelins
jaw: jaw,jaws
jealous: jealous
jealously: jealously
jealousy: jealousy
jejune: jejune
jerusalem: jerusalem
jest: jest
job: job
joining: joinings
joint: joint,joints
jointed: jointed
jointly: jointly
jolly: jolly
journey: journey,journeying
jove: jove
joy: joy,joys
joyful: joyful
joyous: joyous
judah: judah
judge: judge,judged,judges,judging
judgment: judgment,judgments
judicial: judicial
judicious: judicious
juice: juice
juliet: juliet
jump: jumping
juncture: juncture
juno: juno
junto: junto
jupiter: jupiter
jus: jus
justice: justice
justify: justified,justify
justly: justly
justus: justus
juvenile: juvenile
kai: kai
keel: keel,keels
keen: keen
keener: keener
kennedy: kennedy
kenneth: kenneth
key: key
kick: kick,kicked
kid: kids
kill: kill,killed,killing,kills
kindle: kindle,kindled,kindles,kindling
kindling: kindling
kindly: kindly
kindness: kindness
kindred: kindred
kine: kine
king: king,kings
kingdom: kingdom,kingdoms
kingly: kingly
kinsman: kinsman
kiss: kiss,kisses
knee: knee,knees
kneel: kneel
knife: knife
knight: knight,knights
knit: knit,knits
knock: knock,knocks
knot: knot,knotted
knotty: knotty
knowledge: knowledge
laborious: laborious
labour: labour,laboured,labouring,labours
labourer: labourer
ladder: ladder
lady: lady
laertes: laertes
lag: lag,lagging,lags
laid: laid
lair: lair
lake: lake,lakes
lamb: lamb,lambs
lambkin: lambkin
lame: lame
lament: lament,lamented,lamenting,laments
lamentable: lamentable
lamentation: lamentation,lamentations
lamented: lamented
lamp: lamp
lance: lance,lances
land: land,landed,lands
landscape: landscape
landsmen: landsmen
language: language
languaged: languaged
languid: languid
languish: languish
lapithae: lapithae
largo: largo
lash: lash
lastly: lastly
late: late
latent: latent
latin: latin
latitude: latitude
latona: latona
laugh: laugh,laughing
laughter: laughter
launch: launch
laundry: laundry
laurel: laurel
lave: lave,laves
lavish: lavish
law: law,laws
lawful: lawful
lawgiver: lawgivers
lawless: lawless
lawn: lawn,lawns
lawyer: lawyer
lay: laid,lay,laying,lays
lazy: lazy
le: le
lead: lead,leading,leads,led
leaden: leaden
leader: leader,leaders
leading: leading
leaf: leaf,leaves
leafy: leafy
league: league,leagues
leagued: leagued
leaguer: leaguer
lean: lean,leaning
leap: leap,leaped,leaping,leaps
learn: learn,learned,learning
learning: learning
leather: leather
leathern: leathern
leave: leave,leaves,leaving,left
leaves: leaves
lecture: lectures
leech: leeches
left: left
leg: leg,legs
legal: legal
legally: legally
legate: legate
legend: legend,legends
legion: legion,legions
lemnian: lemnian
lend: lend,lends,lent
lengthen: lengthen
lengthful: lengthful
lenitive: lenitives
lent: lent
leopard: leopard
lesbia: lesbia
lesbian: lesbian
lessen: lessen,lessens
lessening: lessening
lesson: lesson,lessons
lethargic: lethargic
letter: letter,letters
letters: letters
level: level,levels
leveret: leveret
lexic: lexic
liability: liability
liable: liable
lib: lib
libation: libation,libations
liberty: liberties,liberty
library: library
licence: licence
license: license,licensed
licensed: licensed
licentious: licentious
lick: lick
lid: lids
lie: lie,lies,lying
lieu: lieu
life: life,lives
lifeless: lifeless
lift: lift,lifted,lifting,lifts
lifting: lifting
ligature: ligature
light: light,lighted,lighter,lights,lit
lighted: lighted
lighten: lighten,lightens
lightly: lightly
lightning: lightning,lightnings
likeness: likeness
limb: limb,limbs
limit: limit,limited,limits
limitation: limitation
limited: limited
limnoria: limnoria
lineage: lineage
lineament: lineaments
linen: linen
linger: linger,lingering
link: link,linked,links
linus: linus
lion: lion,lions
lioness: lioness
lip: lips
liquid: liquid
list: listed,lists
listen: listen,listening,listens
listener: listeners
listening: listening
listless: listless
lit: lit
literal: literal
literally: literally
literary: literary
literature: literature
liv: liv
live: live,lived,lives,living
lived: lived
livelihood: livelihood
lively: lively
liver: liver
livid: livid
living: living
lo: lo
load: load,loaded,loads
loaded: loaded
loaden: loaden
local: local
locate: located
location: locations
lock: lock,locks
locrian: locrian
locust: locusts
lodge: lodge,lodged
lofty: lofty
loiter: loiter
loll: lolling
lone: lone
lonely: lonely
longing: longing
longshanks: longshanks
looker: lookers
loom: loom,looms
loose: loose,loosed
loosen: loosen
lop: lopped,lops
loquacious: loquacious
lord: lord,lords
lordly: lordly
lorenzo: lorenzo
lose: lose,losing,lost
loser: loser
loss: loss
lost: lost
lot: lot,lots
loth: loth
loto: lotos
loud: loud,louder,loudest
loudly: loudly
lour: louring,lours
louring: louring
love: love,loved,loves,loving
loved: loved
lovely: loveliest,lovely
lover: lover,lovers
lowing: lowing
lowly: lowly
loyal: loyal
loyalty: loyalty
lucan: lucan
lucid: lucid
luckless: luckless
lucky: luckier
lucre: lucre
lucretius: lucretius
lui: lui
lukewarm: lukewarm
lull: lull,lulls
lumber: lumber,lumbering
lung: lungs
lunge: lunge
lurk: lurk
lust: lust
lustful: lustful
lustration: lustration
lustre: lustre
luxuriant: luxuriant
luxury: luxury
lycian: lycian
lyctus: lyctus
lydia: lydia
lynceus: lynceus
lyre: lyre
lyric: lyric
lysander: lysander
macbeth: macbeth
mace: mace
machaon: machaon
machine: machine,machines
machinery: machinery
mad: mad
madame: madame
madding: madding
madly: madly
madness: madness
mae: mae
magazine: magazine
magic: magic
magnanimity: magnanimity
magnificence: magnificence
magnificent: magnificent
magnificently: magnificently
magnify: magnify
magnitude: magnitude
maia: maia
maid: maid,maids
maiden: maiden,maidens
mail: mail
maim: maimed
main: main
mainmast: mainmast
mainspring: mainspring
maintain: maintain,maintained,maintaining,maintains
maintenance: maintenance
majestic: majestic
majestical: majestical
majestically: majestically
majesty: majesty
maker: maker
malice: malice
malicious: malicious
malignant: malignant
mallet: mallet
manage: manage,managed,managing
management: management
manager: manager
mandate: mandate
mane: mane,manes
manger: manger,mangers
mangle: mangle
mangled: mangled
manifest: manifest
manifestly: manifestly
mankind: mankind
manlike: manlike
manly: manlier,manly
mann: mann
manna: manna
manner: manner
manners: manners
mansion: mansion,mansions
mantle: mantle,mantles
manufacture: manufacture
manuscript: manuscript,manuscripts
map: map
marble: marble
marbles: marbles
march: march,marches,marching
mare: mare,mares
margin: margin,margins
mariner: mariner
maris: maris
maritime: maritime
mark: mark,marked,marking,marks
marked: marked
marking: marking
marks: marks
marpessa: marpessa
marriage: marriage
married: married
marrow: marrow
marry: married
mars: mars
marsh: marsh,marshes
marshal: marshal
marshall: marshall
marshy: marshy
mart: mart
martial: martial
marvel: marvelled
marvellous: marvellous
mash: mash
mason: mason,masons
mass: mass
massive: massive
massiveness: massiveness
massy: massy
mast: mast,masts
master: master,masters
mastiff: mastiffs
match: match,matched
matchless: matchless
mate: mate,mates
material: material,materials
maternal: maternal
matron: matron,matrons
matter: matter
maturity: maturity
max: max
maxim: maxim,maxims
maximum: maximum
mayst: mayst
maze: maze,mazes
mazy: mazy
mead: mead,meads
meadow: meadows
meagre: meagre
meal: meal
meaning: meaning,meanings
meanly: meanly
meanness: meanness
measure: measure,measured,measures,measuring
meat: meat
mechanical: mechanical
medea: medea
mediate: mediate,mediates
medical: medical
medici: medici
medicine: medicine
meditate: meditate,meditated,meditates,meditating
medium: medium
meet: meet,meeting,meets,met
meeting: meeting,meetings
melancholy: melancholy
melanippus: melanippus
melas: melas
meleager: meleager
meles: meles
melodious: melodious
melody: melody
melt: melt,melted,melting,melts
melting: melting
memoirs: memoirs
memorable: memorable
memorial: memorial
memory: memory
menace: menace,menaced,menaces
menelaus: menelaus
menial: menial
mention: mention,mentioned,mentioning
mentor: mentor
merchant: merchants
merchantability: merchantability
mercury: mercury
mercy: mercy
mere: mere
meriones: meriones
merit: merit,merits
merops: merops
merriment: merriment
message: message,messages
messenger: messenger
met: met
metal: metal,metals
metallic: metallic
metaphor: metaphor,metaphors
meteor: meteors
meteorous: meteorous
methinks: methinks
method: method,methods
methodical: methodical
metrical: metrical
mettle: mettle
mewling: mewling
michael: michael
microscope: microscope
mid: mid
middle: middle
midmost: midmost
midnight: midnight
midst: midst
midway: midway
mien: mien
mighty: mightier,mightiest,mighty
migrate: migrating
mild: mild,milder,mildest
mildly: mildly
mile: miles
military: military
milk: milk,milking
milker: milker
milky: milky
milton: milton
mimic: mimic
mind: mind,minds
minded: minded
mindful: mindful
mindless: mindless
minerva: minerva
mingle: mingle,mingled,mingles
mingling: mingling
minister: minister,ministers
minor: minor
minos: minos
minstrel: minstrel
minute: minute,minutes
minutely: minutely
minyas: minyas
mira: mira
miracle: miracles
miraculously: miraculously
mirror: mirror
misbehaviour: misbehaviour
miscall: miscall
miscellaneous: miscellaneous
mischance: mischance
mischief: mischief
mischievous: mischievous
miserable: miserable
miserably: miserably
misery: miseries,misery
misfortune: misfortune,misfortunes
mislead: misled
misshapen: misshapen
missile: missile
mission: mission
mississippi: mississippi
missive: missive
mist: mist,mists
mistake: mistake,mistakes,mistook
mistaken: mistaken
mistress: mistress
misty: misty
mitigate: mitigate
mitre: mitre
mix: mix,mixed,mixes,mixing
mixing: mixing
mixture: mixture
moan: moan,moans
mob: mob
mock: mock,mocks
mode: mode,modes
moderate: moderate
modern: modern,moderns
modernism: modernism
modest: modest
modestly: modestly
modesty: modesty
modification: modification,modifications
modify: modified
modulation: modulations
mohammed: mohammed
moira: moira
moisture: moisture
mole: moles
molest: molest
molestation: molestation
molten: molten
moment: moment,moments
momentary: momentary
mon: mon
monarch: monarch,monarchs
money: money
mons: mons
monster: monster,monsters
monstrous: monstrous
month: month,months
monument: monument,monuments
monumental: monumental
mood: mood
moon: moon,moons
moony: moony
moor: moor
moral: moral
morbid: morbid
morbus: morbus
morn: morn
morning: morning
morrow: morrow
morsel: morsels
mortal: mortal,mortals
mortality: mortality
mortals: mortals
moschus: moschus
mossy: mossy
mother: mother,mothers
motion: motion,motions
motionless: motionless
motive: motive,motives
mott: mott
motto: motto
mould: mould,moulds
moulder: moulder
mound: mound,mounds
mount: mount,mounted,mounting,mounts
mountain: mountain,mountains
mourn: mourn,mourning,mourns
mourner: mourner,mourners
mournful: mournful
mourning: mourning
mouse: mice,mouse
mouth: mouth,mouths
moveless: moveless
moving: moving
mow: mow,mows
mower: mowers
muddy: muddy
mulciber: mulciber
mule: mule,mules
muller: muller
multifarious: multifarious
multiplicity: multiplicity
multitude: multitude,multitudes
multitudinous: multitudinous
murder: murder,murdered
murderer: murderer
murderous: murderous
mure: mure
murmur: murmur,murmuring,murmurs
murmuring: murmuring
mus: mus
musa: musa
muse: muse,muses,musing
muses: muses
museum: museum
music: music
muster: muster
mute: mute
mutter: mutter,muttering
mutual: mutual
myrmidon: myrmidons
myrmidonian: myrmidonian
myrmidons: myrmidons
myrtle: myrtles
mysian: mysian
mystery: mysteries,mystery
mystic: mystic
mystical: mystical
mythical: mythical
mythol: mythol
mythological: mythological
mythology: mythology
naiad: naiad
nail: nail,nailed
nais: nais
naked: naked
nape: nape
naples: naples
narrate: narrated,narrating
narration: narration,narrations
narrative: narrative
narrow: narrow,narrowest
narrowness: narrowness
natal: natal
nation: nation,nations
national: national
native: native,natives
natural: natural
naturally: naturally
nature: nature
natured: natured
naval: naval
nave: naves
navel: navel
navigable: navigable
navigate: navigated
navigation: navigation
navy: navies,navy
nearness: nearness
neat: neatest
neatly: neatly
necessity: necessity
neck: neck,necks
nectar: nectar
nectareous: nectareous
needful: needful
needle: needle
negative: negative
neglect: neglect,neglected,neglecting,neglects
neglectful: neglectful
negligence: negligence
negligently: negligently
negro: negroes
neigh: neigh,neighing
neighborhood: neighborhood
neighboring: neighboring
neighbour: neighbour,neighbouring,neighbours
neon: neon
neptune: neptune
nereid: nereids
nereids: nereids
nerve: nerve,nerves
nerveless: nerveless
nervous: nervous
nest: nest
nestor: nestor
nether: nether
network: network
newly: newly
news: news
newsletter: newsletter
nice: nice
nigh: nigh
night: night,nights
nightly: nightly
nile: nile
nimble: nimble
nimbler: nimbler
nineteen: nineteen
ninth: ninth
niobe: niobe
nobility: nobility
noble: noble,nobler,noblest
nobly: nobly
nocturnal: nocturnal
nod: nod,nodded,nodding,nods
noise: noise,noises
noisy: noisy
nomad: nomads
nomine: nomine
nonproprietary: nonproprietary
nonsense: nonsense
noon: noon
north: north
northern: northern
northward: northward
nose: nose
nostril: nostrils
note: note,notes
notes: notes
notice: notice,noticed,noticing
notify: notifies
notion: notion,notions
notoriety: notoriety
notturno: notturno
notus: notus
nought: nought
nourish: nourish
nourishment: nourishment
novelty: novelty
november: november
nowise: nowise
noxious: noxious
numa: numa
numb: numb,numbing
numerous: numerous
nuptial: nuptial
nuptials: nuptials
nurse: nurse,nursed
nursery: nursery
nursing: nursing
nurture: nurture,nurtured
nut: nuts
nymph: nymph,nymphs
nyssa: nyssa
oak: oak,oaks
oar: oar,oars
oath: oath,oaths
obedience: obedience
obedient: obedient
obeisance: obeisance
obey: obey,obeys
object: object,objects
objection: objection,objections
obligation: obligations
oblige: oblige,obliged,obliging
oblique: oblique
obliquely: obliquely
oblivion: oblivion
obloquy: obloquy
obscene: obscene
obscure: obscure,obscured,obscures
obscurest: obscurest
obscurity: obscurity
obsequious: obsequious
obsequy: obsequies
observable: observable
observant: observant
observation: observation,observations
observe: observe,observed,observes,observing
obsolete: obsolete
obstacle: obstacles
obstinacy: obstinacy
obstinate: obstinate
obstinately: obstinately
obstruct: obstruct
obtest: obtests
obtrude: obtrude
obvious: obvious
occasion: occasion,occasioned,occasions
occasional: occasional
occasionally: occasionally
occupy: occupied,occupy,occupying
occur: occur,occurring,occurs
occurrence: occurrence,occurrences
ocean: ocean
oceanus: oceanus
od: od
odd: odd
odds: odds
odious: odious
odour: odours
odysseus: odysseus
odyssey: odyssey
oedipus: oedipus
offence: offence,offences
offend: offend,offended,offending,offends
offended: offended
offender: offenders
offensive: offensive
offer: offer,offered,offering,offers
offering: offering,offerings
office: office,offices
officer: officer,officers
official: official
officious: officious
offspring: offspring
oft: oft
oftener: oftener
oftenest: oftenest
oil: oil
oils: oils
olive: olive
olympiad: olympiad
olympian: olympian
olympus: olympus
omen: omen,omened,omens
omission: omissions
omit: omit,omits,omitting
omnipotence: omnipotence
omnipotent: omnipotent
online: online
onset: onset
onward: onward
ope: opes
oped: oped
opera: operas
operate: operated
operation: operations
ophiuchus: ophiuchus
opinion: opinion,opinions
opp: opp
opponent: opponents
opportunity: opportunities,opportunity
oppose: oppose,opposed,opposes,opposing
opposition: opposition
oppress: oppress,oppressed
opprobrious: opprobrious
option: option
opuntia: opuntia
opus: opus
oracle: oracle,oracles
oracular: oracular
oral: oral
oratory: oratory
orb: orb,orbs
orbit: orbits
ordain: ordain,ordains
ordinance: ordinance
ordinarily: ordinarily
ordinary: ordinary
ore: ore
orestes: orestes
organization: organization
organize: organized
orient: orient
oriental: oriental
origin: origin
original: original
originality: originality
originally: originally
originator: originator
orion: orion
orlando: orlando
ornament: ornament,ornaments
orphan: orphan,orphans
orthian: orthian
osier: osiers
ostensible: ostensible
ostentation: ostentation
otus: otus
ourself: ourself
outcast: outcast
outdated: outdated
outgo: outgo
outline: outline
outnumber: outnumber
outset: outset
outshine: outshined,outshines,outshone
outspread: outspread
outstretch: outstretch
outstrip: outstrip,outstrips
outward: outward
outwards: outwards
outweigh: outweighs
outwork: outworks
oval: oval
overboard: overboard
overcast: overcast
overcharge: overcharged
overcome: overcome
overflow: overflow
overhang: overhangs,overhung
overlook: overlook,overlooked,overlooks
overpower: overpower
overrun: overrun
overspread: overspread
overtake: overtake,overtook
overthrow: overthrow,overthrown
overtop: overtops
overwhelming: overwhelming
owe: owe,owed,owes
owner: owner,owners
ox: ox
oxen: oxen
oxford: oxford
pace: pace,paced
pacific: pacific
pacify: pacified,pacifies
pact: pact,pacts
paeon: paeon
paeonia: paeonia
paeons: paeons
pagan: pagan
pail: pail,pails
pain: pain,pains
painful: painful
paint: painted,paints
painter: painter
pair: pair
palace: palace,palaces
palate: palate
pale: pale,pales
palisade: palisades
pall: palls
palladian: palladian
pallas: pallas
palm: palm,palms
palmed: palmed
palmus: palmus
palpable: palpable
palsy: palsy
pamper: pamper
pandarus: pandarus
pandion: pandion
panegyric: panegyric
pang: pang,pangs
panic: panic
panomphaean: panomphaean
panoply: panoply
pant: pant,panted
pantheon: pantheon
panther: panther
panting: panting
pants: pants
pap: pap
paper: paper,papers
paperwork: paperwork
paphian: paphian
papyrus: papyrus
paradise: paradise
paragraph: paragraph,paragraphs
parallel: parallel,parallels
paraphrase: paraphrase,paraphrased
parch: parch
pardon: pardon
pardonable: pardonable
parent: parent,parents
parentage: parentage
pari: pari
paris: paris
parity: parity
parley: parley
parnassus: parnassus
parody: parodied,parody
partake: partake,partakes
partaker: partaker
parterre: parterre
parti: parti
partial: partial
partiality: partiality
participate: participate
particle: particles
particularize: particularize
particulars: particulars
partition: partition
partly: partly
partner: partner,partners
partook: partook
party: parties,party
pas: pas
pass: pass,passed,passes,passing
passage: passage,passages
passenger: passenger,passengers
passing: passing
passion: passion,passions
passionate: passionate
pastor: pastor
pastoral: pastorals
pasture: pasture,pastures,pasturing
patch: patch
paternal: paternal
path: path,paths
pathetic: pathetic
pathless: pathless
pathway: pathway
patience: patience
patient: patient
patrimonial: patrimonial
patroclus: patroclus
patron: patron,patrons
pattern: pattern
paunch: paunch
pause: pause,paused,pauses,pausing
pavement: pavement
pavilion: pavilion,pavilions
paw: paw,paws
pay: paid,pay,paying,pays
payment: payments
peace: peace
peaceful: peaceful
peacefully: peacefully
peal: peals
pearly: pearly
peasant: peasant
pebble: pebble,pebbles
