abase: abasing
moi: moi
mole: moles
moliere: moliere
moment: moment,moments
moments: moments
mon: mon
monad: monad
money: money
monsieur: monsieur
monster: monster,monsters
monstrosity: monstrosities,monstrosity
monstrous: monstrous
mood: mood
moorish: moorish
moral: moral,morals
moralist: moralist,moralists
moralistic: moralistic
morality: moralities,morality
moralize: moralize
moralizing: moralizing
morally: morally
morals: morals
morbid: morbid
morbidness: morbidness
morn: morn
morning: morning
morphology: morphology
morrow: morrow
mort: mort
mortal: mortal
mortally: mortally
mother: mother,mothers
motion: motion
motive: motive,motives
motley: motley
motleyness: motleyness
mould: mould
mounting: mounting
mouth: mouth,mouths
movable: movable
movement: movement,movements
mozart: mozart
mud: mud
muddle: muddle
multifarious: multifarious
multifariousness: multifariousness
multiplicity: multiplicities,multiplicity
multiply: multiplies
multitude: multitude
mumbling: mumbling
munchausen: munchausen
murmur: murmuring
muscle: muscles
muscular: muscular
mushroom: mushroom
music: music
musical: musical
musician: musician,musicians
musty: musty
mutilation: mutilation
mutual: mutual
mutually: mutually
mysterious: mysterious
mystery: mysteries,mystery
mystic: mystic,mystics
mystical: mystical
mysticism: mysticism
mythologically: mythologically
mythology: mythology
naive: naive
naively: naively
naivete: naivete,naivetes
naked: naked
nakedness: nakedness
naples: naples
napoleon: napoleon
napoleonic: napoleonic
narrow: narrow,narrower
narrowing: narrowing
narrowness: narrowness
nation: nation,nations
national: national
nationality: nationality
native: native
natura: natura
natural: natural
naturalist: naturalists
naturalize: naturalize
naturally: naturally
nature: nature,natures
natured: natured
nausea: nausea
nays: nays
nearer: nearer
nearness: nearness
necessitous: necessitous
necessity: necessity
neck: neck
needy: needy
negation: negation
negative: negative
negatively: negatively
neglect: neglect
negligence: negligence
negligent: negligent
neighbour: neighbour,neighbouring,neighbours
neighbourhood: neighbourhood
nerve: nerves
nervous: nervous
ness: ness
nether: nether
network: network,networks
neurosis: neurosis
neutrality: neutrality
neutralize: neutralize
newcomer: newcomers
newly: newly
newsletter: newsletter
newspaper: newspaper,newspapers
niaiserie: niaiserie
nice: nice,nicer
nietzsche: nietzsche
nigh: nigh
night: night
nightmare: nightmare
nihilism: nihilism
nimble: nimble
nineteenth: nineteenth
nobility: nobility
noble: noble,nobler,noblest
nobleman: nobleman
nobleness: nobleness
noblesse: noblesse
noise: noise,noises
noisy: noisy
nomadic: nomadic
nomenclature: nomenclature
nominate: nominating
nonproprietary: nonproprietary
nonsense: nonsense
nook: nook,nooks
normal: normal
north: north
northern: northern
northerners: northerners
nose: nose
nostril: nostrils
nostrum: nostrum
note: note,notes
nothingness: nothingness
notice: notice,noticed,notices
notify: notifies
notion: notion,notions
nourish: nourish
nourishment: nourishment
novelty: novelty
nowadays: nowadays
nuance: nuance,nuances
numerous: numerous
nun: nun
nurture: nurtured
nutriment: nutriment
nutrition: nutrition
oak: oak
oakum: oakum
obedience: obedience
oberon: oberon
obey: obey,obeying,obeys
object: object,objects
objection: objection,objections
objective: objective
objectiveness: objectiveness
obligation: obligation,obligations
obligatory: obligatory
oblige: obliged,obliges,obliging
obnoxious: obnoxious
obscurantist: obscurantists
obscure: obscure,obscures
obscurity: obscurity
obsequiousness: obsequiousness
observe: observe,observed
observer: observers
obsolete: obsolete
obstacle: obstacles
obstinately: obstinately
obstructive: obstructive
obtrusion: obtrusion
obtrusive: obtrusive
obtrusiveness: obtrusiveness
obtuseness: obtuseness
obversely: obversely
obviate: obviates
obvious: obvious
obviousness: obviousness
occasion: occasion
occasional: occasional
occasionally: occasionally
occult: occult
occupy: occupied,occupy
occur: occur,occurred,occurring
occurrence: occurrence
ocular: ocular
odious: odious
odour: odour,odours
oedipus: oedipus
offence: offence
offend: offends
offensive: offensive
offer: offer,offered,offers
office: office
officer: officer
official: official
officious: officious
oft: oft
oftener: oftener
oftentimes: oftentimes
ogle: ogling
olden: olden
olympian: olympian
ominous: ominous
omission: omission
omit: omit
omnibus: omnibus
omnivorous: omnivorous
oneself: oneself
online: online
onlooker: onlookers
onward: onward
opaque: opaque
ope: ope
openly: openly
operate: operate,operated,operates,operating
operating: operating
operation: operation,operations
opinion: opinion,opinions
opium: opium
opponent: opponents
opportune: opportune
opportunity: opportunities,opportunity
oppose: oppose,opposed,opposing
opposed: opposed
opposing: opposing
opposites: opposites
opposition: opposition,oppositions
oppress: oppressed
oppressed: oppressed
oppression: oppression
optional: optional
orator: orators
oratory: oratory
orbit: orbit
ordain: ordains
ordinary: ordinary
organ: organs
organic: organic
organization: organization
organize: organized
orgy: orgy
orient: orient
oriental: oriental,orientals
origin: origin
original: original
originally: originally
originate: originate,originated,originates
originator: originator
ornament: ornament,ornamented
ornamentation: ornamentation
ostentation: ostentation
ostentatious: ostentatious
otium: otium
outbreak: outbreak,outbreaks
outburst: outbursts
outcry: outcry
outdated: outdated
outer: outer
outgoing: outgoing
outlet: outlets
outlive: outlived
outset: outset
outward: outward
outwards: outwards
outwit: outwitting
overbearing: overbearing
overcast: overcast
overcharge: overcharged
overcome: overcame,overcome,overcoming
overflow: overflow,overflowed,overflowing
overleap: overleaps
overlook: overlook,overlooked
overman: overman
overmast: overmaster
overmaster: overmasters
oversee: oversee
overshadow: overshadowing
overspread: overspread
overtake: overtake
overthrow: overthrow
overture: overture
overwhelm: overwhelm
overwhelming: overwhelming
owe: owe,owed,owes
owl: owls
owner: owner
ownership: ownership
pace: pace,paces
pack: packed
pain: pain,pains
painful: painful
paint: paint,painted
painter: painters
painting: painting
palate: palate
pale: pale
pallas: pallas
palm: palm
palpableness: palpableness
paltry: paltry
pampered: pampered
pampering: pampering
pane: pane
panegyrist: panegyrists
pang: pangs
panting: panting
pantomime: pantomime
paper: paper
paperwork: paperwork
par: par
parable: parable
parade: parade
paradise: paradise
paradox: paradox
paradoxical: paradoxical
paragraph: paragraph,paragraphs
paralysis: paralysis
paramount: paramount
paramountly: paramountly
parchment: parchment
pardon: pardon,pardoned,pardons
pare: pares
parent: parents
pariah: pariahs
paris: paris
parisian: parisian
park: park
parliament: parliament
parliamentarism: parliamentarism
parliamentary: parliamentary
parodist: parodists
paroxysm: paroxysms
parsifal: parsifal
partial: partial
partiality: partiality
partially: partially
participate: participated
participation: participation
particle: particle
partie: partie
partly: partly
party: parties,party
parvenus: parvenus
pas: pas
pascal: pascal
pass: pass,passed,passes
passage: passage,passages
passer: passer
passion: passion,passions
passionate: passionate
passionately: passionately
passive: passive
passport: passport
patchiness: patchiness
pate: pates
path: path,paths
pathetically: pathetically
pathology: pathology
pathos: pathos
patience: patience
patient: patient
patriot: patriot,patriots
patriotic: patriotic
patriotism: patriotism
patronage: patronage
pattern: pattern
paul: paul
pay: paid,pay,paying
payment: payments
peace: peace
peaceable: peaceable
peaceful: peaceful
peacefully: peacefully
peacock: peacock
peasant: peasant,peasants
peculiar: peculiar
peculiarly: peculiarly
pedant: pedant,pedants
pedantic: pedantic
pedantry: pedantry
peep: peep
peer: peer
penal: penal
penance: penance
penetrate: penetrated
peninsula: peninsula
penitential: penitential
penitentiary: penitentiaries
people: peoples
perceive: perceive,perceived,perceives
perception: perception
perfect: perfect,perfected,perfecting
perfection: perfection
perfectly: perfectly
perform: perform,performed,performing
performance: performance,performances
perhapses: perhapses
pericles: pericles
peril: peril
perilous: perilous
period: period,periods
periodic: periodic
perish: perish,perished
permanency: permanency
permanent: permanent
permeate: permeated
permission: permission
permit: permits,permitted
perpendicular: perpendicular
perpetual: perpetual
perpetually: perpetually
perplex: perplexed
perplexing: perplexing
persecute: persecuted
persian: persians
persist: persist
persistence: persistence
persistent: persistent
persistently: persistently
person: people,person,persons
personage: personage
personal: personal
personality: personality
personally: personally
personnel: personnel
perspective: perspective,perspectives
persuade: persuade,persuaded,persuading
persuasively: persuasively
pertain: pertains
perverse: perverse
perversion: perversion
perversity: perversity
pessimism: pessimism
pessimist: pessimist
pessimistic: pessimistic
pet: pet
petit: petit
petrifying: petrifying
pettiness: pettiness
petty: petty
phantom: phantom
pharisaism: pharisaism
phenomena: phenomena
phenomenon: phenomena,phenomenon
philanthropy: philanthropy
philologist: philologist,philologists
philology: philology
philosophe: philosophe
philosopher: philosopher,philosophers
philosophical: philosophical
philosophize: philosophize,philosophized,philosophizing
philosophy: philosophies,philosophy
philtre: philtre
phlegm: phlegm
phoenicianism: phoenicianism
phoenicians: phoenicians
phrase: phrase,phrases
physical: physical
physician: physician,physicians
physicist: physicists
physiological: physiological
physiologically: physiologically
physiologist: physiologist,physiologists
physiology: physiology
pia: pia
picture: picture
piece: piece,pieces
piecemeal: piecemeal
piety: piety
pigmy: pigmy
pigtail: pigtail
pile: piled
pillow: pillow
pine: pined
pinings: pinings
pious: pious
pipe: piped
pit: pit
pitch: pitch
pitiful: pitiful
pity: pity
placid: placid
placidity: placidity
plain: plain,plainer
plainly: plainly
plan: planning
planet: planet
plant: plant,planting,plants
plate: plates
platform: platform
plato: plato
platonic: platonic
platonism: platonism
plausible: plausible
play: play,played,playing,plays
player: players
plaything: plaything
pleasant: pleasant,pleasanter
pleasantly: pleasantly
pleasing: pleasing
pleasure: pleasure,pleasures
plebeian: plebeian
plebeianism: plebeianism
plenipotence: plenipotence
plenitude: plenitude
plenty: plenty
pluck: pluck
plummet: plummet
plunge: plunge,plunged
plurality: plurality
pococurante: pococurante
pocus: pocus
poe: poe
poet: poet,poets
poetical: poetical
poison: poison
poisoning: poisoning
poisonous: poisonous
poke: pokes
pole: pole,poles
police: police
policy: policy
polis: polis
polish: polishing
politely: politely
politeness: politeness
political: political
politician: politicians
politics: politics
pomp: pomp
pompous: pompous
pompously: pompously
pond: pond
ponderous: ponderous
ponderously: ponderously
poor: poor,poorer
poppy: poppy
populace: populace
popular: popular
popularly: popularly
port: port
portal: portal,portals
portentous: portentous
portion: portion,portions
portrait: portrait
pose: pose
posit: posit
position: position,positions
positive: positive
positivism: positivism
possess: possess,possessed,possesses,possessing
possession: possession
possibility: possibilities,possibility
post: posted,posts
posterior: posterior
posterity: posterity
posthumous: posthumous
potch: potch
potency: potency
potent: potent
potter: potter
pour: pour,pours
poverty: poverty
power: power,powers
powerful: powerful
powerfulness: powerfulness
practical: practical
practically: practically
practice: practice,practiced
practise: practise,practising
practises: practises
praise: praise,praised,praises
prank: pranks
pray: pray,praying
prayer: prayer
preach: preach,preached
preacher: preacher,preachers
precaution: precaution,precautions
precious: precious
precipitate: precipitate
precisely: precisely
precision: precision
predatory: predatory
predecessor: predecessors
predestine: predestined
predestined: predestined
predetermine: predetermined
predicate: predicate
predict: predict
predilection: predilection,predilections
preface: preface
prefer: prefer,preferred,preferring,prefers
preferably: preferably
preference: preference,preferences
pregnancy: pregnancy
pregnant: pregnant
prehistoric: prehistoric
prejudice: prejudice,prejudices
prejudiced: prejudiced
preliminarily: preliminarily
preliminary: preliminary
prelude: prelude
premature: premature
prematureness: prematureness
premise: premises
preordained: preordained
preparation: preparation
prepare: prepare,prepared,prepares,preparing
preponderance: preponderance
prepossess: prepossess
prepossessed: prepossessed
preposterous: preposterous
prerogative: prerogatives
prescribe: prescribed
prescription: prescriptions
presence: presence
preservation: preservation
preservative: preservative
preserve: preserve,preserved,preserves,preserving
press: press,pressed,presses,pressing
pressure: pressure
presto: presto
presume: presumed
presumption: presumption,presumptions
presumptive: presumptive
presumptuous: presumptuous
presuppose: presuppose,presupposes,presupposing
presupposition: presupposition
pretence: pretence
pretend: pretend
pretension: pretensions
pretentious: pretentious
pretty: pretty
prevail: prevail,prevailed,prevailing,prevails
prevalence: prevalence
prevalent: prevalent
prevent: prevent,prevents
previous: previous
prey: prey
price: price
pride: pride
priest: priest
priestly: priestly
prima: prima
primary: primary
primitive: primitive
prince: prince
principal: principal
principally: principally
principe: principe
principle: principle,principles
print: print,printed
printing: printing
priori: priori
prison: prison
prisoner: prisoner
privacy: privacy
privation: privation
privilege: privilege,privileges
privileged: privileged
prize: prized
probability: probability
probable: probable
problematic: problematic
procedure: procedure
proceedings: proceedings
process: process,processes
processing: processing
proclivity: proclivities
prodigally: prodigally
prodigy: prodigies
produce: produce,produced,produces
product: product
production: production
profess: professes
profession: profession
professor: professor
proficiency: proficiency
profit: profit,profits
profound: profound,profounder,profoundest
profounder: profounder
profoundly: profoundly
profoundness: profoundness
profundity: profundity
profuse: profuse
profusion: profusion
progress: progress
prohibition: prohibition
project: project
prolong: prolonged
prolonged: prolonged
prominence: prominence
prominent: prominent
prominently: prominently
promiscuously: promiscuously
promise: promise,promised,promising
promote: promoting
promotion: promotion
prompt: prompt,prompted,prompts
proof: proof
proofread: proofread
proofreading: proofreading
propagate: propagate,propagating
propagator: propagators
propensity: propensities,propensity
proper: proper
properly: properly
property: property
prophet: prophets
proportion: proportion
proportionateness: proportionateness
propose: proposes
proposition: proposition
propound: propounded,propounds
proprietary: proprietary
prose: prose
prospect: prospect
prostrate: prostrate
prostration: prostration
protean: protean
protect: protect,protected,protecting
protection: protection
protector: protectors
protest: protest
protestant: protestants
protestantism: protestantism
protract: protracted
protractedness: protractedness
prouder: prouder
proudly: proudly
prove: prove,proved,proves
provencal: provencal
proverb: proverb
provide: provide,providing
provision: provision,provisions
provisional: provisional
provocation: provocation
proximity: proximity
prudence: prudence
prudent: prudent
prudently: prudently
prussia: prussia
prussian: prussian
pry: pry,prying
prying: prying
psalm: psalm
psychical: psychical
psychological: psychological
psychologist: psychologist,psychologists
psychology: psychology
puberty: puberty
public: public
publica: publica
publish: published
puerilism: puerilism
pull: pull
pulpit: pulpit
punish: punish,punished,punishes
punishment: punishment
punitive: punitive
pupil: pupils
pure: pure,purer,purest
purely: purely
purify: purify
puritan: puritan
puritanical: puritanical
puritanism: puritanism
puritans: puritans
purity: purity
purport: purport
purpose: purpose
pursue: pursue,pursued
push: push,pushed
puzzle: puzzle,puzzles
pythagorean: pythagorean
qualified: qualified
qualify: qualify
quality: qualities,quality
quant: quant
quantity: quantity
quantum: quantum
quarrelsomeness: quarrelsomeness
quarter: quarters
queen: queen
quench: quench
question: question,questioning,questions
questionable: questionable
questionableness: questionableness
qui: qui
quia: quia
quick: quick
quiet: quiet
quietly: quietly
quiver: quivering
race: race,races
racial: racial
rack: rack
radiant: radiant
radical: radical
radically: radically
rag: rags
rage: rage,raging
raise: raise,raised,raising
rake: rakes
ramble: rambles
ramification: ramification
rampant: rampant
rancorously: rancorously
random: random
range: range
rank: rank,ranks
rapacity: rapacity
raphael: raphael
rapid: rapid
rapidly: rapidly
rapture: rapture
rapturous: rapturous
rare: rare,rarer,rarest
rarely: rarely
rareness: rareness
rat: rat
rate: rate
rath: rath
ratification: ratification
rationalism: rationalism
rationality: rationality
rave: rave,raves
reach: reach,reached,reaches,reaching
reacquire: reacquired
read: read,reading,reads
readable: readable
reader: reader
readiness: readiness
reading: reading
ready: ready
real: real
realise: realises
realist: realists
reality: reality
realize: realize,realized
realm: realm,realms
reappear: reappearing
rear: rear,reared,rearing,rears
rearing: rearing
reason: reason,reasons
reasonable: reasonable
reasoning: reasoning
rebaptize: rebaptize
rebel: rebels
rebellion: rebellion
rebellious: rebellious
recall: recalls
receipt: receipt
receive: receive,received,receives,receiving
recess: recess,recesses
recipe: recipes
reciprocal: reciprocal
reciprocity: reciprocity
reckon: reckon,reckoned
recluse: recluse,recluses
recognise: recognise
recognition: recognition
recognize: recognize,recognized,recognizes
recollection: recollection,recollections
recommend: recommend,recommended
reconcile: reconcile
reconciliation: reconciliation
reconstruct: reconstructed
recourse: recourse
recover: recovers
recovery: recovery
recreation: recreation
recur: recurring,recurs
red: red,reds
redeeming: redeeming
rediscover: rediscover
redistribute: redistribute,redistributing
redistributing: redistributing
redistribution: redistribution
redound: redounds
reduce: reduced
reductio: reductio
reeve: rove
refer: referred,refers
reference: references
refine: refined,refines
refined: refined
refinement: refinement,refinements
refining: refining
reflect: reflect,reflected,reflecting
reflection: reflection
reform: reformed
refrain: refrain
refresh: refresh
refreshing: refreshing
refreshment: refreshment
refuge: refuge
refund: refund
refuse: refused,refuses
refutable: refutable
refute: refute,refuted
regain: regained
regard: regard,regarded
regimen: regimen
region: region
register: registered
regret: regret
regrettably: regrettably
regular: regular
regularly: regularly
regulate: regulating
regulation: regulation
regulative: regulative
rein: reins
reject: rejecting,rejects
rejoice: rejoice,rejoices
relapse: relapse,relapses
relation: relation,relations
relationship: relationship,relationships
relative: relative
relativity: relativity
relax: relax
relaxed: relaxed
relearn: relearn
release: release
relentless: relentless
reliable: reliable
reliance: reliance
relief: relief
religieuse: religieuse
religieux: religieux
religion: religion,religions
religious: religious
religiously: religiously
relinquish: relinquished
reluctance: reluctance
reluctantly: reluctantly
remain: remain,remained,remaining,remains
remains: remains
remark: remark,remarked
remarkable: remarkable
remedy: remedies
remember: remember
remembering: remembering
remind: reminded
remnant: remnant
remorse: remorse
remorseless: remorseless
remote: remote,remotest
remotely: remotely
remoteness: remoteness
remove: remove,removed
rename: renamed
rend: rends
render: render,rendered,renders
rendezvous: rendezvous
renounce: renounce,renouncing
renunciation: renunciation
repainting: repainting
repay: repay
repeat: repeat,repeated
repeatedly: repeatedly
repel: repel,repels
repentance: repentance
repetition: repetition
replace: replace
replacement: replacement
repletion: repletion
reply: replied,replies
report: reported,reports
repose: repose
represent: represent,representing,represents
representation: representation,representations
representative: representative,representatives
reprint: reprint
reproach: reproach,reproached
repudiate: repudiate,repudiated,repudiating
repudiation: repudiation
repudiator: repudiator
repugnance: repugnance
repugnant: repugnant
repulsive: repulsive
reputation: reputation
repute: repute,reputed
request: request
require: require,required,requires,requiring
requirement: requirement,requirements
requisite: requisite
requital: requital
res: res
resemblance: resemblance
resemble: resemble,resembles
resentful: resentful
reserve: reserving
reside: reside,resides
residuum: residuum
resign: resign
resist: resist,resisted,resists
resistance: resistance
resolute: resolute
resolutely: resolutely
resolution: resolution
resource: resources
respect: respect,respected
respectability: respectability
respectable: respectable
respectably: respectably
respected: respected
respectful: respectful
respects: respects
responsibility: responsibilities,responsibility
responsible: responsible
rest: rest,rested,rests
resting: resting
restlessness: restlessness
restrain: restrained
restraint: restraint
restricted: restricted
restriction: restrictions
restrictively: restrictively
result: result
retailer: retailer
retain: retain
retaliation: retaliation
retard: retarded
retarded: retarded
reticent: reticent
retint: retinted
retire: retiring
retired: retired
retirement: retirement
retro: retro
retrograde: retrograde,retrogrades
retrogression: retrogression
retrospect: retrospect
retrospective: retrospective
return: return,returned,returning,returns
reveal: reveal,revealed,revealing,reveals
revel: revelled,revels
revenge: revenge,revenges
revengefulness: revengefulness
revenue: revenue
reverence: reverence,reverenced
reverent: reverent
reverently: reverently
reverse: reverse,reversing
reversely: reversely
revolt: revolt
revolution: revolution,revolutions
revolutionary: revolutionary
revolve: revolve
reward: reward
rewarder: rewarder
rhetorician: rhetorician
rhyme: rhyme,rhymes
rhythm: rhythm,rhythms
rib: ribs
rich: rich,richer
richard: richard
richly: richly
rid: rid,ridding
riddle: riddle,riddles
rider: rider
ridicule: ridicule
ridiculous: ridiculous
rightly: rightly
rights: rights
rigid: rigid
rigidity: rigidity
rigidness: rigidness
rigorous: rigorous
rigorously: rigorously
rigour: rigour
ripe: ripe
ripen: ripen
rise: rise,risen,rising,rose
risk: risk,risks
rivalry: rivalry
river: river
roam: roam
roasted: roasted
rob: robbed
robert: robert
robust: robust
rococo: rococo
rod: rod
roguish: roguish
roland: roland
role: role
roll: roll
roman: roman,romans
romantic: romantic
romanticism: romanticism
rome: rome
romping: romping
roof: roof
root: root
rope: rope
rose: rose
rotundly: rotundly
rouen: rouen
rough: rough
roughly: roughly
roundness: roundness
rousseau: rousseau
rove: roves,roving
royal: royal
royalty: royalties,royalty
rub: rub,rubbed
rubato: rubato
rude: rude
ruder: ruder
rue: rue
ruin: ruin,ruined,ruins
ruination: ruination
rule: rule,ruled,rules,ruling
ruler: ruler,rulers
ruling: ruling
rumble: rumbling
ruse: ruses
rush: rush,rushes
russia: russia
russian: russian,russians
rustic: rustic
ruthlessly: ruthlessly
sabbath: sabbath
sabbaths: sabbaths
saber: saber
sacrifice: sacrifice,sacrificed,sacrifices
sacrificer: sacrificer
sacrificial: sacrificial
sad: sad
sadly: sadly
sadness: sadness
safe: safe
safely: safely
safety: safety
saga: saga
sagacity: sagacity
sage: sage
sail: sail
sailor: sailor
saint: saint,saints
sainte: sainte
sake: sake
salt: salt
salvation: salvation
sample: sample
san: sans
sancta: sancta
sanctify: sanctified
sanctity: sanctity
sand: sand
sang: sang
sans: sans
satiety: satiety
satisfaction: satisfaction
satisfactorily: satisfactorily
satisfactory: satisfactory
satisfied: satisfied
satisfy: satisfy
satyr: satyr
satyric: satyric
savage: savage
savagely: savagely
save: save,saves
savour: savours
saxon: saxon
scaffolding: scaffolding
scale: scale
scandinavian: scandinavian
scarcely: scarcely
scarecrow: scarecrows
scatter: scattered
scaur: scaur
scene: scene
scent: scent,scents
sceptic: sceptic
schelling: schelling
scheme: scheme,scheming
schiller: schiller
scholar: scholar,scholars
scholarly: scholarly
scholars: scholars
school: school,schooled,schools
schooling: schooling
schoolmaster: schoolmasters
schopenhauerian: schopenhauerian
science: science,sciences
scientific: scientific
scoffer: scoffers
scold: scolds
scorn: scorn
scornful: scornful
scratch: scratched
scribe: scribe
sculptor: sculptor
scurvy: scurvy
sea: sea
seal: seal
sear: seared
search: search
season: season,seasons
seat: seat
secondary: secondary
secrecy: secrecy
secret: secret
secretion: secretion
secretly: secretly
sect: sects
secure: secure,secured,securest,securing
securer: securer
security: security
sedative: sedative
sediment: sediment
seduce: seduce,seduces
seduction: seduction,seductions
seductive: seductive
seductively: seductively
sedulously: sedulously
seek: seek,seeking,seeks,sought
seeker: seeker,seekers
seeks: seeks
seemingly: seemingly
seemingness: seemingness
seemly: seemly
seer: seer
seize: seize,seizes,seizing
seldom: seldom
select: select,selecting
selection: selection
selfishness: selfishness
selfless: selfless
selflessness: selflessness
semblance: semblance,semblances
send: send,sending
senile: senile
sensation: sensation,sensations
sense: sense,sensed
senseless: senseless
sensibility: sensibility
sensitive: sensitive
sensitively: sensitively
sensitiveness: sensitiveness
sensual: sensual
sensualism: sensualism
sensuality: sensuality
sensuous: sensuous
sensuousness: sensuousness
sensus: sensus
sentence: sentence,sentences
sentiment: sentiment,sentiments
sentimental: sentimental
separate: separate,separated,separates
separately: separately
separation: separation
sequence: sequence
serene: serene
serenity: serenity
series: series
seriousness: seriousness
sermon: sermons
serpent: serpent,serpents
serpentine: serpentine
servant: servant,servants
serve: serve,served,serves
service: service,services
serviceable: serviceable
servile: servile
servitude: servitude
set: set,sets
settle: settled
seventeenth: seventeenth
seventh: seventh
sever: sever,severing,severs
severe: severe
severity: severity
sex: sex,sexes
sexual: sexual
shade: shade
shades: shades
shadow: shadow,shadows
shakespeare: shakespeare
shallow: shallow
shalt: shalt
shamble: shambling
shame: shame
shameless: shameless
shamelessly: shamelessly
shape: shape,shaping
share: share,shared,sharing
sharp: sharp,sharpest
sharpen: sharpen,sharpened
sharpened: sharpened
sharply: sharply
shatter: shatter,shattering
sheep: sheep
shelley: shelley
shepherd: shepherd
shift: shifted
shifting: shifting
shine: shine,shines
shock: shocks
shocking: shocking
shoe: shoes
shop: shop
short: short,shorter
shorten: shorten
shortly: shortly
shout: shouted
shred: shred
shrewd: shrewd,shrewdest
shriek: shrieks
shrine: shrines
shrink: shrinks
shroud: shrouded
shudder: shudder,shuddering
shun: shuns
shut: shut,shutting
shutting: shutting
shy: shy
shyly: shyly
sick: sick
sickliness: sickliness
sickly: sickly
sickness: sickness
sided: sided
siegfried: siegfried
sigh: sigh,sighs
sight: sight,sighted
sighted: sighted
sign: sign,signs
significance: significance
signification: signification,significations
signify: signifies,signify
silence: silence,silenced
silent: silent
silently: silently
silly: silly
similarity: similarity
simile: simile
simple: simple,simpler,simplest
simplicity: simplicity
simplification: simplification
simplify: simplified,simplify
simply: simply
simulation: simulations
simultaneously: simultaneously
simultaneousness: simultaneousness
sin: sin,sins
sing: sang,sing
singing: singing
single: single
singly: singly
singular: singular
sink: sink,sinking,sunk
sinking: sinking
sip: sipped
sir: sir
sit: sat,sitting
situate: situated
situation: situation
sixteenth: sixteenth
sixth: sixth
skeptic: skeptic,skeptics
skeptical: skeptical
skepticism: skepticism
skill: skill
skin: skin
skull: skulls
sky: skies,sky
slander: slander
slave: slave,slaves
slavery: slavery
slay: slain
sleep: sleep
sleepy: sleepy
slender: slender
slight: slight,slightest
slippery: slippery
slough: slough
slow: slow
slowly: slowly
sluggish: sluggish
slumber: slumber
slumbering: slumbering
sly: sly
smartness: smartness
smell: smell,smelling,smells
smile: smile,smiled,smiling
smooth: smooth
snare: snare
sneeze: sneeze
soar: soar,soaring
sober: sober
social: social
socialist: socialist
socialistic: socialistic
socialists: socialists
society: society
sociology: sociology
socrates: socrates
socratic: socratic
socratism: socratism
soft: soft
soften: softening
softening: softening
soil: soil
sojourn: sojourn
solar: solar
soldier: soldiers
sole: sole
solely: solely
solemn: solemn
solemnly: solemnly
solicit: solicit
solicitation: solicitation
solidify: solidified
solitariness: solitariness
solitary: solitary
solitude: solitude
solution: solution,solutions
solve: solve
sombre: sombre
son: son
song: song,songs
sons: sons
soothing: soothing
soporific: soporific
sordid: sordid
sorrow: sorrow
sorrowful: sorrowful
sort: sort,sorts
soul: soul,souls
sound: sound,sounded,sounds
soundly: soundly
source: source,sources
south: south
southern: southern
southerner: southerner
southernly: southernly
sovereign: sovereign
sovereignty: sovereignty
space: space
spade: spade
spain: spain
spaniard: spaniard
spanish: spanish
spark: sparks
spasm: spasms
speak: speak,speaking,speaks,spoke,spoken
special: special
specialist: specialist,specialists
specialize: specialize
specially: specially
specialty: specialties,specialty
species: species
specific: specific
spectacle: spectacle
spectacles: spectacles
spectator: spectator,spectators
speech: speech
speed: speed
spell: spell,spelled
spelling: spellings
spencer: spencer
spend: spent
spendthrift: spendthrifts
sphere: sphere
sphinx: sphinx
spice: spices
spider: spider
spin: spun
spinner: spinners
spirit: spirit,spirits
spirited: spirited
spiritism: spiritism
spiritual: spiritual
spirituality: spirituality
spiritualization: spiritualization
spiritualize: spiritualized
spite: spite
spiteful: spiteful
spittle: spittles
spleen: spleen
splendidly: splendidly
splendour: splendour
spoil: spoil,spoils
spoilt: spoilt
spoken: spoken
spontaneously: spontaneously
spot: spot
spout: spouting
sprawl: sprawls
spread: spread
sprightly: sprightly
spring: sprang,spring,springs,sprung
springtime: springtime
sprinkling: sprinkling
spurious: spurious
spurt: spurts
spy: spy,spying
squander: squandered
square: square
squarely: squarely
squint: squinting
stability: stability
stable: stable
staccato: staccato
staff: staff
stage: stage
staid: staid
stake: stake
stalk: stalk,stalked
stammer: stammered
stamp: stamped
stand: stand,standing,stands,stood
standard: standard,standards
standing: standing
standpoint: standpoint,standpoints
standstill: standstill
star: star,stars
stare: stare
start: start,starting
statement: statements
statesman: statesman
station: station
statism: statism
statuesque: statuesque
status: status
stay: stay
steel: steeled
steep: steeped
stellar: stellar
step: step,steps
sterner: sterner
sternness: sternness
stick: stick
stiff: stiff,stiffer
stiffness: stiffness
stifle: stifle,stifled
stigma: stigma
stimulate: stimulate
stimulus: stimulus
stinging: stinging
stink: stink
stoa: stoa
stoic: stoic,stoics
stoical: stoical
stoically: stoically
stoicism: stoicism
stoics: stoics
stomach: stomach,stomachs
stone: stone
store: stored
storeroom: storeroom
storm: storm,storms
story: story
straight: straight
straighten: straighten
strain: strain,strained,straining
strange: strange,strangest
strangely: strangely
stranger: stranger
strangle: strangle
strata: strata
stray: strayed
stream: stream
street: street
strength: strength
strengthen: strengthens
stress: stress
stretch: stretch,stretched
stricken: stricken
strict: strict,stricter,strictest
strictly: strictly
strife: strife
strike: strike,strikes,struck
strive: strive,strives,striving
stroke: stroke
strong: strong,stronger,strongest
structure: structure
struggle: struggle,struggling
stuart: stuart
student: student
studious: studious
study: studied,study
stuff: stuff
stultification: stultification
