abandon: abandon,abandoned,abandons
hymn: hymn,hymns
hyperborean: hyperborean
hypocrisy: hypocrisy
icarian: icarian
ice: ice,ices
iceland: iceland
ichthyologist: ichthyologists
icicle: icicles
icy: icy
idea: idea,ideas
idealist: idealists
identical: identical
identify: identified
idiot: idiots
idiotic: idiotic
idle: idle
idleness: idleness
idly: idly
ignoble: ignoble
ignorance: ignorance
ignorant: ignorant
iliad: iliad
illiterate: illiterate
illiterateness: illiterateness
illumine: illumines
illusion: illusion
illusive: illusive
illusory: illusory
illustrate: illustrated,illustrates
illustrious: illustrious
image: image
imaginable: imaginable
imaginary: imaginary
imagination: imagination
imagine: imagine,imagined,imagining
imaging: imaging
imbibe: imbibes
imbricate: imbricated
imbrute: imbrute
imitate: imitate,imitated
immeasurable: immeasurable
immense: immense
immerse: immersed
immigrant: immigrant
immoral: immoral
immortal: immortal
immortality: immortality
imp: imps
impale: impaling
impart: impart,imparted,imparts
impartial: impartial
impartially: impartially
impatient: impatient
impel: impelled
imperfect: imperfect
imperfection: imperfection,imperfections
imperialist: imperialists
imperishable: imperishable
impersonal: impersonal
impertinent: impertinent
impervious: impervious
impetuous: impetuous
implement: implements
imply: implied,implies,imply
import: import,importing,imports
impose: impose,imposed
impossible: impossible
impound: impounded
impoverish: impoverishing
impoverished: impoverished
impress: impress,impressed
impressed: impressed
impressible: impressible
impression: impression
impressive: impressive
impressively: impressively
imprison: imprisoned,imprisons
imprisonment: imprisonment
improperly: improperly
impropriety: impropriety
improvable: improvable
improve: improve,improved,improving
improved: improved
improvement: improvement,improvements
improvidence: improvidence
impudent: impudent
impulse: impulse,impulses
impunity: impunity
impure: impure
impurity: impurity
inaccessible: inaccessible
inadequacy: inadequacy
inanimate: inanimate
inaudible: inaudible
incapacitate: incapacitated
incase: incased
incense: incense
incessant: incessant
incessantly: incessantly
inch: inch,inches
incident: incident,incidents
incidental: incidental
inclination: inclination,inclinations
incline: incline,inclined,inclines
inclined: inclined
include: included,including
income: income
inconceivable: inconceivable
inconsiderable: inconsiderable
inconsistency: inconsistencies,inconsistency
inconsistent: inconsistent
inconsolable: inconsolable
inconsolably: inconsolably
inconvenience: inconvenience
inconveniency: inconveniency
inconvenient: inconvenient
incorporate: incorporated
increase: increase,increased,increases,increasing
incredible: incredible
incredibly: incredibly
incredulity: incredulity
incur: incur,incurred
incurable: incurable
inde: inde
indefinite: indefinite
indefinitely: indefinitely
indentation: indentation
indented: indented
independence: independence
independent: independent,independents
independently: independently
indescribable: indescribable
indescribably: indescribably
indestructible: indestructible
indeterminable: indeterminable
indeterminate: indeterminate
india: india
indian: indian,indians
indicative: indicative
indies: indies
indifference: indifference
indifferent: indifferent
indifferently: indifferently
indigence: indigence
indigenous: indigenous
indirect: indirect
indirectly: indirectly
indispensable: indispensable
indistinct: indistinct
indistinctly: indistinctly
individual: individual,individuals
individualize: individualize
indolence: indolence
indra: indra
inducement: inducement
indulge: indulge,indulged,indulges,indulging
industrious: industrious
industriously: industriously
industry: industry
indweller: indweller
ineffable: ineffable
ineffectual: ineffectual
ineffectually: ineffectually
inefficiency: inefficiency
inequality: inequalities
inert: inert
inevitable: inevitable
inevitably: inevitably
inexhaustible: inexhaustible
inexpedient: inexpedient
inexpressible: inexpressible
infancy: infancy
infant: infant,infants
infanta: infanta
infer: infer,inferred
inferior: inferior
infernal: infernal
infest: infest
infinite: infinite
infinitely: infinitely
infinitesimal: infinitesimal
infirm: infirm
infirmity: infirmity
inflame: inflame
inflate: inflated
inflexible: inflexible
influence: influence,influences
influx: influx
inform: inform,informed,informing
informant: informant
infringe: infringed
ingenious: ingenious
ingenuity: ingenuity
ingredient: ingredient
inhabit: inhabit
inhabitant: inhabitant,inhabitants
inhabitants: inhabitants
inhale: inhaling
inherent: inherent
inherit: inherit,inherited
inheritance: inheritance
inhospitable: inhospitable
inhospitality: inhospitality
inhumane: inhumane
injure: injure,injuring
injury: injury
injustice: injustice
ink: ink
inland: inland
inlet: inlet,inlets
inn: inn
innate: innate
innocence: innocence
innocent: innocent,innocents
innumerable: innumerable
inoffensive: inoffensive
inorganic: inorganic
inquire: inquire,inquired
inquiry: inquiries,inquiry
inquisitive: inquisitive
inquisitively: inquisitively
insane: insane
insanity: insanity
inscribe: inscribed
insect: insect,insects
insectivorous: insectivorous
insensibility: insensibility
insensible: insensible
insensibly: insensibly
inseparable: inseparable
insert: inserting
insight: insight
insignificant: insignificant
insist: insist,insisting
insolvent: insolvent
inspect: inspecting
inspector: inspector
inspiration: inspiration
inspire: inspire,inspired,inspires,inspiring
inspiring: inspiring
instance: instance,instances
instant: instant
instantaneous: instantaneous
instantaneously: instantaneously
instantly: instantly
instil: instilling
instinct: instinct
instinctively: instinctively
institute: institute
institution: institution,institutions
instruct: instructed
instructor: instructor
instrument: instrument,instruments
insufficiency: insufficiency
insufficient: insufficient
insular: insular
insulate: insulated
insult: insult
insurance: insurance
insure: insured
insurrection: insurrection
intangible: intangible
integrity: integrity
integument: integument
intellect: intellect,intellects
intellectual: intellectual
intellectually: intellectually
intellectualness: intellectualness
intelligence: intelligence,intelligences
intelligent: intelligent
intemperate: intemperate
intend: intend,intended,intending
intense: intense
intention: intention,intentions
intentionally: intentionally
intercourse: intercourse
interfere: interfere,interfered,interferes
interior: interior
interlace: interlace
intermediate: intermediate
intermit: intermitting
intermix: intermixed
internal: internal
internally: internally
internecine: internecine
interpret: interpreted
interpretation: interpretation
interrupt: interrupt,interrupted
interrupted: interrupted
interruption: interruption
intersect: intersect,intersected
interval: interval,intervals
intervene: intervene,intervening
intervert: interverting
interweave: interwoven
intimate: intimate
intimation: intimation
intoxicate: intoxicated
intoxicating: intoxicating
intoxication: intoxication
intra: intra
introduce: introduce,introduced
introduction: introduction
intruder: intruder
invade: invading
invariably: invariably
invective: invective
invent: invent,invented
inventor: inventor
invert: invert
investment: investment,investments
inveterate: inveterate
invidious: invidious
invigorate: invigorates
inviolable: inviolable
invisible: invisible
invitation: invitation
invite: invite,invites
invoke: invoke
involuntary: involuntary
involve: involved
inwardly: inwardly
ireland: ireland
iris: iris
irish: irish
irishman: irishman
irishmen: irishmen
irksome: irksome
iron: iron,irons
irrecoverable: irrecoverable
irregular: irregular
irregularity: irregularity
irrepressible: irrepressible
irresistible: irresistible
irretrievably: irretrievably
irreverent: irreverent
irruption: irruption
island: island,islands
islander: islander
islanders: islanders
islands: islands
isle: isle
islet: islet
israel: israel
issue: issue
isthmus: isthmus
italy: italy
itch: itch
itching: itching
item: item,items
iteration: iteration
ivy: ivy
jack: jack
jacket: jacket
jackknife: jackknife
jail: jail
jailer: jailer,jailers
jam: jammed
james: james
january: january
japan: japan,japanned
jar: jarring
jarred: jarred
jaw: jaw,jaws
jay: jay,jays
jelly: jelly
jerk: jerk
jersey: jersey
jest: jest
jesting: jesting
jesuits: jesuits
jesus: jesus
jewel: jewels
jeweller: jeweller
jingle: jingle
job: job,jobs
john: john
johnson: johnson
joint: joint,joints
joke: joking
jonas: jonas
jonathan: jonathan
jonsonian: jonsonian
jostle: jostled
journal: journal
journey: journey
jove: jove
jowl: jowl
joy: joy,joys
judge: judge,judged,judging
judgment: judgment
jug: jug
juga: juga
july: july
jump: jump,jumped,jumping
june: june
juniper: juniper
junk: junk
juno: juno
jupiter: jupiter
justice: justice
kaleidoscope: kaleidoscopes
kalpa: kalpa
keel: keel
keen: keen
keenly: keenly
keeper: keeper,keepers
keeping: keeping
kenelm: kenelm
kennel: kennels
kernel: kernel,kernels
kettle: kettle,kettles
kick: kicks
kill: kill,killed,kills
kindle: kindled
kindling: kindlings
kindness: kindness
kindred: kindred
kindredship: kindredship
king: king,kings
kingdom: kingdom
kingly: kingly
kirby: kirby
kitchen: kitchen,kitchens
kite: kite
kitten: kittens
kittly: kittly
knead: knead,kneaded
knee: knee,knees
kneel: kneeling
knife: knife,knives
knight: knights
knob: knob,knobs
knock: knock,knocked
knot: knot,knots
knowledge: knowledge
labium: labium
labor: labor,labored,laboring,labors
laboratory: laboratory
laborer: laborer,laborers
laborious: laborious
laboriously: laboriously
labyrinth: labyrinth
laciniate: laciniated
lack: lack
ladder: ladder
laden: laden
lading: lading
lady: ladies,lady
lake: lake,lakes
lamb: lambs
lamp: lamp
lamplight: lamplight
lamprey: lampreys
lance: lance
land: land,landed,lands
landlord: landlord
landscape: landscape,landscapes
lane: lanes
language: language,languages
lap: lap,lapped,laps
laplander: laplander
lapse: lapse,lapses
lapsing: lapsing
lapsus: lapsus
lard: lard
larder: larder
lark: lark
larva: larva
larynx: larynx
latch: latch
late: late
lateral: lateral
lath: lath,laths
lathing: lathing
latin: latin
latins: latins
latitude: latitude
latitudes: latitudes
laugh: laugh,laughed,laughing,laughs
laughter: laughter
launch: launch,launched
lava: lava
lave: laves
lavishly: lavishly
law: law,laws
lawfully: lawfully
lawgiver: lawgiver
lawyer: lawyer,lawyers
laxly: laxly
lay: laid,lay,laying,lays
layer: layers
lazy: lazy
le: le
lea: lea
leach: leach,leached
lead: lead,leading,leads,led
leaden: leaden
leader: leader,leaders
leaf: leaf,leaves
league: league
leak: leak,leaked
leaky: leakiest
lean: lean,leaned,leaning
leap: leap,leaped,leaping,leaps
learn: learn,learned,learning,learns
learning: learning
leave: leave,leaves,leaving,left
leaven: leaven
leavening: leavening
lecture: lecture,lectures,lecturing
lecturer: lecturer
ledger: ledger
ledges: ledges
leek: leek
left: left
leg: leg,legs
legally: legally
legged: legged
legible: legible
legion: legion,legions
legislate: legislate
legislation: legislation
legislative: legislative
legislator: legislator,legislators
legislature: legislature
legitimately: legitimately
leisure: leisure
lend: lend
lengthen: lengthen
lengthwise: lengthwise
lenticular: lenticular
leopard: leopard
lepus: lepus
lethargy: lethargy
letter: letter,letters
lettuce: lettuce
level: level,levelled,levelling
lever: lever
levity: levity
lewis: lewis
liability: liability
liable: liable
liber: liber
liberal: liberal
liberality: liberality
liberalize: liberalizing
liberally: liberally
liberty: liberties,liberty
library: library
license: license
lichen: lichen,lichens
lick: lick,licks
lid: lid,lids
lie: lain,lie,lies,lying
liebig: liebig
life: life,lives
lifelong: lifelong
lifetime: lifetime
lift: lift,lifting
ligature: ligatures
light: light,lighted,lighting,lights,lit
lightning: lightning
liken: likened
lilac: lilac
lily: lily
limb: limbs
limbed: limbed
lime: lime
limestone: limestone
limit: limited,limits
limited: limited
limpid: limpid
lincoln: lincoln
linen: linen
linger: lingered,lingering
lingua: lingua
link: link,links
lintel: lintel
lion: lion
lip: lip,lips
liquid: liquid,liquids
liquor: liquor
lisp: lisps
lisping: lisping
list: list
listen: listen,listened,listening,listens
literal: literal
literally: literally
literary: literary
literature: literature,literatures
live: live,lived,lives,living
lived: lived
livelihood: livelihood
liver: liver
livery: livery
living: living
lo: lo
load: load,loaded,loads
loaf: loaf,loaves
loafer: loafer
loath: loath
lobe: lobe,lobed,lobes
lobed: lobed
locality: locality
location: location
loch: loch
lock: lock,locked,locks
locomotive: locomotive
locust: locust,locusts
lodge: lodge,lodged
lodging: lodging
lofty: loftier,lofty
log: log,logged,logs
logarithmic: logarithmic
logic: logic
loin: loins
loiter: loiter
loitering: loitering
london: london
lone: lone
loneliness: loneliness
lonely: lonely
lonesome: lonesome
looker: looker
loom: loomed
loon: loon,loons
loose: loose
loosely: loosely
loquacious: loquacious
lord: lord,lords
lore: lore
lose: lose,loses,losing,lost
loss: loss
lot: lot
lotus: lotus
loud: loud,louder
loudly: loudly
louisiana: louisiana
lounge: lounge
love: love,loved,loves,loving
lover: lover,lovers
lowing: lowing
lucid: lucid
luck: luck
lucky: lucky
ludicrous: ludicrous
lull: lull,lulled,lulls
lumber: lumber,lumbering
lump: lump
lumpish: lumpish
lunatic: lunatics
lunch: lunch
luncheon: luncheon
lung: lungs
lurk: lurk
lustily: lustily
lusty: lusty
luther: luther
luxuriance: luxuriance
luxuriant: luxuriant
luxuriantly: luxuriantly
luxurious: luxurious
luxuriously: luxuriously
luxuriousness: luxuriousness
luxury: luxuries,luxury
lyceum: lyceum
lyre: lyre
machine: machine,machines
machinery: machinery
mad: mad
madam: madam
madness: madness
madras: madras
magazine: magazines
maggot: maggot
magic: magic
magnanimity: magnanimity
magnetic: magnetic
magnetism: magnetism
magnificence: magnificence
magnificent: magnificent
magnificently: magnificently
magnify: magnified
magnitude: magnitude
magnus: magnus
maid: maids
maiden: maiden
main: main
maine: maine
mainspring: mainspring
maintain: maintain,maintained,maintaining
majesty: majesties
majority: majorities,majority
maker: maker,makers
malaria: malaria
malays: malays
male: male
malefactor: malefactors
mameluke: mameluke
mammoth: mammoth
manage: manage,managed,manages
management: management
manager: manager
mangy: mangy
manhood: manhood
maniac: maniac
maniacal: maniacal
manifest: manifest,manifested
manifestation: manifestation
manifestly: manifestly
manikin: manikins
manilla: manilla
mankind: mankind
manly: manlier,manliest,manly
manner: manner
manners: manners
mansion: mansion,mansions
mantel: mantel
mantle: mantle
manufacture: manufactured,manufactures
manufacturer: manufacturers
manurance: manurance
manure: manure,manured,manures
manus: manus
map: map,mapped
maple: maple,maples
marble: marble,marbles
march: march,marching
marching: marching
margin: margin
marine: marine
mariner: mariners
mark: mark,marked,marks
market: market,markets
marmot: marmots
marrow: marrow
marrowy: marrowy
marsh: marsh,marshes
marten: marten
martial: martial
martin: martins
martyr: martyrs
marvellousness: marvellousness
mary: mary
mason: mason
masonry: masonry
masquerade: masquerade
mass: mass,masses
massachusetts: massachusetts
massive: massive
mast: mast
master: master,mastered,masters
mat: mat,mats,matted
match: match
matchless: matchless
mate: mate
material: material,materials
materially: materially
mathematical: mathematical
mathematics: mathematics
matter: matter,matters
mature: mature,maturing
maturer: maturer
maturity: maturity
mausoleum: mausoleum
mavis: mavis
mayflower: mayflower
mead: meads
meadow: meadow,meadows
meagre: meagre
meal: meal,meals
meander: meandering
meandering: meandering
meaning: meaning
meanly: meanly
meanness: meanness
measure: measure,measured,measures,measuring
measuring: measuring
meat: meat,meats
mechanic: mechanics
mechanical: mechanical
meddle: meddling
medical: medical
medicine: medicine,medicines
mediocrity: mediocrity
meditation: meditation,meditations
mediterranean: mediterranean
medium: medium
meekness: meekness
meet: meet,meets,met
meeting: meeting
melancholy: melancholy
melodious: melodious
melodiousness: melodiousness
melody: melody
melt: melt,melted,melting,melts
mem: mem
membrane: membrane
memnon: memnon
memoirs: memoirs
memorable: memorable
memory: memories,memory
menagerie: menagerie
mend: mended
mended: mended
mending: mending
mental: mental
mention: mention,mentioned
mentor: mentors
mercenary: mercenary
merchandise: merchandise
merchant: merchant,merchants
mercurial: mercurial
mercury: mercury
mercy: mercies,mercy
mere: mere
meridian: meridian
merit: merit
merlin: merlin
merry: merry
mesopotamia: mesopotamia
mess: mess
message: messages
messenger: messenger,messengers
metal: metal,metals
metallurgy: metallurgy
metamorphose: metamorphose
metaphor: metaphor,metaphors
metaphysical: metaphysical
methinks: methinks
method: method,methods
methought: methought
methuselah: methuselah
mew: mewing
mexican: mexican,mexicans
mexico: mexico
michael: michael
microcosm: microcosm
microscope: microscope
middle: middle
middling: middling
midnight: midnight
midst: midst
midsummer: midsummer
midwinter: midwinter
mighty: mighty
migrate: migrate,migrates,migrating
mild: mild
mildewy: mildewy
mildness: mildness
mile: mile,miles
military: military
militia: militia
milk: milk,milked,milking
milkweed: milkweed
milky: milky
millet: millet
milton: milton
mince: minced
mind: mind,minded,minding,minds
minded: minded
mineral: mineral
minerva: minerva
mingle: mingle,mingled
minister: ministers
ministerial: ministerial
mink: mink,minks
minority: minority
minstrel: minstrels
mint: mint
minute: minute,minutes
miracle: miracle,miracles
miraculously: miraculously
mirage: mirage
mirror: mirror
mirth: mirth
misanthrope: misanthrope
miscalculate: miscalculated
mischief: mischief
mischievous: mischievous
misconception: misconception
miserable: miserable
misery: misery
misfortune: misfortune
misgive: misgiving
mishap: mishap
mislead: misled
mission: mission
missionary: missionaries,missionary
mississippi: mississippi
missouri: missouri
mist: mist,mists
mistake: mistake,mistakes
mistaken: mistaken
mistress: mistress
misty: misty
mitten: mittens
mix: mix,mixed
mixture: mixture
moan: moaning,moans
mob: mob
mock: mock,mocking
mode: mode,modes
model: model
moderate: moderate
modern: modern,moderns
modulate: modulated
moiling: moiling
moist: moist
moisture: moisture
molasses: molasses
mole: mole,moles
molest: molest,molested
molten: molten
moment: moment,moments
momentarily: momentarily
momentary: momentary
momus: momus
monarch: monarch
monarchy: monarchy
money: money
monkey: monkey,monkeys
monopoly: monopoly
monotonous: monotonous
monster: monster,monsters
monstrous: monstrous
month: month,months
monthly: monthly
monument: monument,monuments
mood: mood,moods
moon: moon
moonless: moonless
moonlight: moonlight
moore: moore
moose: moose
mop: mop
moral: moral
morally: morally
morning: morning,mornings
morrow: morrow
morsel: morsel
mortal: mortal,mortals
mortality: mortality
mortar: mortar
mortgage: mortgaged,mortgaging
mortification: mortification
mortise: mortised
mosquito: mosquito
moss: moss
mossy: mossy
mote: mote,motes
moth: moth
mother: mother,mothers
motion: motion,motions
motionless: motionless
motive: motive
mottled: mottled
motto: motto
mould: mould,moulds
moulder: mouldering
moult: moult
moulting: moulting
mound: mounds
mount: mounted,mounting,mounts
mountain: mountain,mountains
mountainous: mountainous
mountains: mountains
mourn: mourning
mourning: mourning
mouse: mice,mouse
mouth: mouth,mouths
movable: movable
mower: mower
mowing: mowing
muck: muck
mud: mud
muddy: muddied,muddier,muddy
muff: muff
muffled: muffled
muggy: muggy
mullein: mullein,mulleins
multiply: multiplied
multitude: multitude
mummy: mummy
mungo: mungo
munitions: munitions
munity: munity
murder: murder,murdered,murders
murmur: murmur
muscle: muscles
muse: muse
museum: museum
mushroom: mushroom
music: music
musical: musical
musician: musicians
musing: musing
musket: musket
muskrat: muskrat,muskrats
musky: musky
muslin: muslins
musquash: musquash
mussulman: mussulman
musty: musty
mutter: muttering
mutual: mutual
muzzle: muzzle
myriad: myriad,myriads
myrmidons: myrmidons
mysterious: mysterious
mystery: mystery
mythological: mythological
mythology: mythology
nail: nail,nailed,nails
naked: naked
nakedly: nakedly
nakedness: nakedness
nameless: nameless
nap: nap,napping
nape: nape
napkin: napkin
napoleon: napoleon
narrow: narrow,narrowest
narrowly: narrowly
narrowness: narrowness
nasal: nasal
nation: nation,nations
national: national
native: native,natives
natural: natural
naturalist: naturalist,naturalists
naturalize: naturalized
naturally: naturally
nature: nature,natures
naught: naught,naughts
navigation: navigation
navigator: navigators
navy: navy
nearer: nearer
nearest: nearest
nearness: nearness
neat: neat,neatest
neatly: neatly
nebuchadnezzar: nebuchadnezzar
necessaries: necessaries
necessitate: necessitated
necessity: necessities,necessity
neck: neck
needle: needle,needles
needlessly: needlessly
needy: needy
neglect: neglect,neglected
negro: negro
neigh: neigh
neighbor: neighbor,neighboring,neighbors
neighborhood: neighborhood
neighboring: neighboring
neighborliness: neighborliness
neptune: neptune
nerve: nerve,nerves
nervii: nervii
nervous: nervous
nest: nest,nested,nests
nettle: nettle
neutral: neutral
nevada: nevada
newfoundland: newfoundland
newly: newly
news: news
newspaper: newspaper,newspapers
newton: newton
nibble: nibble,nibbled,nibbling
nicholas: nicholas
nick: nick
nigh: nigh
night: night,nights
nightfall: nightfall
nightly: nightly
nights: nights
nile: nile
nilometer: nilometer
nimbly: nimbly
nimrod: nimrod
nineteenth: nineteenth
ninth: ninth
nip: nip,nipped
nipping: nipping
noble: noble,nobler,nobles,noblest
nobleman: nobleman,noblemen
nobleness: nobleness
nocturnal: nocturnal
nocumentum: nocumentum
nod: nod
noise: noise
noiseless: noiseless
noisy: noisier,noisy
nomenclature: nomenclature
nominal: nominal
nonsense: nonsense
nook: nook,nooks
noon: noon,noons
noose: noose
normal: normal
norman: norman
north: north
northerly: northerly
northern: northern
norwegian: norwegian
nose: nose
nostril: nostrils
notability: notabilities
notable: notable
notch: notch,notched
note: note,notes
notice: notice,noticed
noticeable: noticeable
notify: notified
notion: notion,notions
nourish: nourish,nourished
noveldom: noveldom
novelist: novelist
novelty: novelty
november: november
nowadays: nowadays
nucleus: nuclei
nuisance: nuisances
numb: numb,numbed
numbness: numbness
numerous: numerous
nun: nun
nurses: nurses
nut: nut,nuts
nutshell: nutshell
nutting: nutting
nymph: nymph,nymphs
oak: oak,oaks
oakum: oakum
oar: oar,oars
oats: oats
obedience: obedience
obedient: obedient
obediently: obediently
obelisk: obelisk
obey: obey,obeyed,obeys
object: object,objected,objects
objection: objection,objections
oblation: oblations
obligation: obligation
oblige: obliged
obliterate: obliterate,obliterated
oblong: oblong
obscene: obscene
obscurity: obscurities,obscurity
obsequious: obsequious
observance: observance
observation: observation
observatory: observatory
observe: observe,observed,observes,observing
observer: observer,observers
obsoletely: obsoletely
obstacle: obstacle,obstacles
obstinacy: obstinacy
obstinately: obstinately
obstruction: obstruction,obstructions
obtrude: obtrude
obvious: obvious
occasion: occasion,occasioned,occasions
occasional: occasional
occasionally: occasionally
occupant: occupant,occupants
occupation: occupation
occupied: occupied
occupy: occupied,occupies,occupy,occupying
occur: occur,occurred,occurs
ocean: ocean,oceans
october: october
odd: odd
ode: ode
odor: odor,odors
odorous: odorous
odyssey: odyssey
offence: offence,offences
offend: offend
offender: offender
offensive: offensive
offer: offer,offered,offering,offers
offering: offering
office: office,offices
officer: officer,officers
oftener: oftener
oftenest: oftenest
ohio: ohio
oil: oil
olive: olive,olives
olympus: olympus
omit: omit
omnipresent: omnipresent
ooze: oozed,oozes,oozing
opaque: opaque
operate: operate,operated
operation: operations
operative: operative,operatives
opinion: opinion,opinions
opium: opium
opponent: opponents
opportunity: opportunities,opportunity
oppose: opposed
opposition: opposition
oppress: oppressed
oppression: oppression
oracle: oracle,oracles
oracular: oracular
orator: orator,orators
oratorio: oratorios
orb: orb
orbit: orbit
orchard: orchard,orchards
ordinance: ordinances
ordinary: ordinary
ore: ore
organ: organ,organs
organic: organic
organization: organization,organizations
organize: organized,organizes,organizing
oriental: oriental,orientals
orientals: orientals
origin: origin
original: original
originality: originality
originally: originally
oriole: oriole
orleans: orleans
ornament: ornament,ornaments
ornamental: ornamental
ornamented: ornamented
ornithology: ornithology
orphan: orphan,orphans
orpheus: orpheus
oscillation: oscillation
ostrich: ostriches
otter: otter
ottoman: ottomans
oust: oust
outdoors: outdoors
outer: outer
outgo: outgoes
outgrow: outgrow
outlandish: outlandish
outlet: outlet,outlets
outline: outline,outlines
outlive: outlive,outlived
outlying: outlying
outmost: outmost
outright: outright
outset: outset
outskirts: outskirts
outward: outward
outwardly: outwardly
outweigh: outweigh
outwit: outwit
ova: ova
oven: oven
overarching: overarching
overcast: overcast
overcome: overcame,overcome
overflow: overflow,overflowed,overflowing
overgrown: overgrown
overhang: overhang,overhanging,overhung
overhead: overhead
overlap: overlap,overlapping
overlay: overlaid
overlook: overlooked,overlooking
overrate: overrated,overrates
overrun: overrun
oversee: oversee
overseer: overseer,overseers
overshadow: overshadow,overshadowed,overshadows
oversight: oversights
overtake: overtake,overtook
overwhelmed: overwhelmed
overwhelming: overwhelming
owe: owed
owl: owl,owls
owner: owner,owners
ox: ox
oxen: oxen
oxford: oxford
pace: pace,paces
pacific: pacific
pacing: pacing
pack: pack,packed
pad: pad
paddle: paddle,paddled,paddling
pagoda: pagoda
pail: pail
pailful: pailful,pailfuls
pain: pain,pains
painful: painful
paint: paint,painted
painter: painter,painters
painting: paintings
pair: pair,pairs
palace: palace,palaces
palatable: palatable
palate: palate
palaver: palaver
pale: pale
palestine: palestine
palm: palm
palpitation: palpitation
paltry: paltry
pampas: pampas
pan: pan,pans
panacea: panacea
pang: pangs
pantaloon: pantaloon
pantaloons: pantaloons
panting: panting
pantry: pantry
pants: pants
pap: pap
paper: paper,papers
par: par
parable: parable
parade: parade
paradise: paradise
parasitic: parasitic
parasol: parasol
parch: parching
parched: parched
parching: parching
parchment: parchment
pardon: pardon
pare: pare
parent: parent,parents
paring: parings
paris: paris
parish: parish
parisian: parisian
park: park
parliamentary: parliamentary
parlor: parlor,parlors
parole: parole
parrs: parrs
parsnip: parsnips
parson: parson
partake: partakes,partook
partial: partial
partially: partially
particle: particles
particulars: particulars
partition: partition,partitions
partly: partly
partridge: partridge,partridges
party: parties,party
pass: pass,passed,passes,passing
passable: passable
passably: passably
passage: passage,passages
passenger: passengers
passer: passers
passion: passion,passions
passive: passive
password: password
pastime: pastime
pastoral: pastoral
pasture: pasture,pastures,pasturing
patagonian: patagonian
patch: patch,patches
patent: patent,patented
path: path,paths
pathetically: pathetically
patience: patience
patriarch: patriarch
patrick: patrick
patriot: patriot,patriots
patriotic: patriotic
patriotism: patriotism
patroclus: patroclus
patron: patron,patrons
patterer: patterer
pattering: pattering
pattern: patterns
paunch: paunched,paunches
pauper: pauper
pause: pause,paused,pauses,pausing
pave: pave,paving
paved: paved
pavement: pavement
paver: paver
paw: paw,paws
pay: paid,pay,paying,pays
pea: peas
peace: peace
peaceable: peaceable
peaceably: peaceably
peaceful: peaceful
peak: peak,peaks
peaked: peaked
pear: pear
pearl: pearl,pearls
pearly: pearly
peasant: peasant
peat: peat
pebble: pebble
pebbly: pebbly
peck: peck,pecked
peculiar: peculiar
peculiarity: peculiarities,peculiarity
peculiarly: peculiarly
pecunia: pecunia
pecuniary: pecuniary
pedagogue: pedagogue
pedantic: pedantic
peddle: peddled,peddles
pedestal: pedestal
pedro: pedro
peel: peel,peeled,peeling
peep: peep,peeping
peeping: peeping
peer: peering
peetweet: peetweets
peg: peg
peleus: peleus
pellicle: pellicle
pellucid: pellucid
pelting: pelting
pen: pen
penalty: penalty
penance: penance
pencil: pencil
pendant: pendants
penetrate: penetrate,penetrated,penetrates
peninsular: peninsular
penitent: penitent
penknife: penknife
penny: penny
penobscot: penobscot
people: peopling
pepper: peppered
perceive: perceive,perceived
perceptible: perceptible
perceptibly: perceptibly
perception: perception
perch: perch,perching
perchance: perchance
perennial: perennial
perennially: perennially
perfect: perfect,perfected
perfection: perfection
perfectly: perfectly
perform: perform,performed
performance: performance,performances
perfumed: perfumed
peril: perils
period: period,periods
periodical: periodical
periplus: periplus
permanent: permanent
permanently: permanently
permission: permission
permit: permit,permits,permitted
perpendicular: perpendicular
perpetual: perpetual
perpetuate: perpetuate
perplex: perplexed
perplexity: perplexity
perseverance: perseverance
persevere: persevere
persian: persian
person: people,person,persons
personal: personal
perspiration: perspiration
persuade: persuade,persuaded
persuasion: persuasion
persuasiveness: persuasiveness
pertinacity: pertinacity
pertinent: pertinent
pertinently: pertinently
perturbation: perturbation
pervade: pervade,pervaded
pervert: perverted
pest: pest
petersburg: petersburg
petition: petition,petitioning
petty: petty
pewee: pewee
phaeton: phaeton
pharaohs: pharaohs
pheasant: pheasant
phenomena: phenomena
phenomenon: phenomena,phenomenon
phil: phil
philadelphia: philadelphia
philanthropic: philanthropic
philanthropist: philanthropist,philanthropists
philanthropy: philanthropies,philanthropy
philosopher: philosopher,philosophers
philosophical: philosophical
philosophy: philosophy
phrase: phrase
physical: physical
physically: physically
piazza: piazza
pick: pick,picked,picking,picks
pickerel: pickerel
picture: picture
picturesque: picturesque
piece: piece,pieces
piecemeal: piecemeal
pier: pier
pierce: pierce
piety: piety
pig: pig
pigeon: pigeons
pigweed: pigweed
pike: pike
pile: pile,piled,piles,piling
pilgrim: pilgrim,pilgrims
pilgrimage: pilgrimage
pill: pill
pillar: pillars
pillow: pillow
pilot: pilot,pilots
pilpay: pilpay
pin: pinned
pine: pine,pines
pinion: pinions
pink: pink
pinnate: pinnate
pint: pint
pinweed: pinweeds
piny: piny
pious: pious
pipe: pipe
piper: piper
pipewort: pipewort
pirouetting: pirouetting
piscine: piscine
pistol: pistol
pit: pit,pitted
pitch: pitch
pitiful: pitiful
pity: pitied,pity
pius: pius
placid: placid
plain: plain,plains
plainly: plainly
plan: plan,planning
plane: plane,planed
planet: planet
planetary: planetary
plank: plank,planks
plant: plant,planted,planting,plants
